rank,image_id,file_name,gt_category_id,gt_category_name,pred_category_id,pred_category_name,iou,score,overlay_path,top_k,iou_threshold,max_per_pair,max_per_image
1,1719,000000001719_ILSVRC2012_val_00005749.JPEG,186,n07714571,191,n07739125,0.9661652717997793,0.2848149836063385,results/rfdetr_14best_category_confusion_overlays_diverse/01_img1719_gt186_pred191.jpg,100,0.5,4,2
2,1719,000000001719_ILSVRC2012_val_00005749.JPEG,186,n07714571,191,n07739125,0.9556583573756521,0.4616891145706177,results/rfdetr_14best_category_confusion_overlays_diverse/02_img1719_gt186_pred191.jpg,100,0.5,4,2
3,1762,000000001762_ILSVRC2012_val_00005873.JPEG,4,n01503061,9,n01770393,0.9763942495749471,0.008885285817086697,results/rfdetr_14best_category_confusion_overlays_diverse/03_img1762_gt4_pred9.jpg,100,0.5,4,2
4,291,000000000291_ILSVRC2012_val_00001024.JPEG,4,n01503061,9,n01770393,0.9468751129723628,0.005084844771772623,results/rfdetr_14best_category_confusion_overlays_diverse/04_img291_gt4_pred9.jpg,100,0.5,4,2
5,244,000000000244_ILSVRC2012_val_00000860.JPEG,4,n01503061,9,n01770393,0.9341720860520717,0.008032872341573238,results/rfdetr_14best_category_confusion_overlays_diverse/05_img244_gt4_pred9.jpg,100,0.5,4,2
6,521,000000000521_ILSVRC2012_val_00001720.JPEG,4,n01503061,9,n01770393,0.9322176595104984,0.006758842617273331,results/rfdetr_14best_category_confusion_overlays_diverse/06_img521_gt4_pred9.jpg,100,0.5,4,2
7,571,000000000571_ILSVRC2012_val_00001891.JPEG,4,n01503061,42,n02437136,0.9826010836021547,0.01063457503914833,results/rfdetr_14best_category_confusion_overlays_diverse/07_img571_gt4_pred42.jpg,100,0.5,4,2
8,1565,000000001565_ILSVRC2012_val_00005302.JPEG,72,n02958343,9,n01770393,0.97731160924769,0.08036045730113983,results/rfdetr_14best_category_confusion_overlays_diverse/08_img1565_gt72_pred9.jpg,100,0.5,4,2
9,1438,000000001438_ILSVRC2012_val_00004831.JPEG,72,n02958343,9,n01770393,0.9764569681987635,0.03814951702952385,results/rfdetr_14best_category_confusion_overlays_diverse/09_img1438_gt72_pred9.jpg,100,0.5,4,2
10,1875,000000001875_ILSVRC2012_val_00006230.JPEG,4,n01503061,42,n02437136,0.9758451571012428,0.015205240808427334,results/rfdetr_14best_category_confusion_overlays_diverse/10_img1875_gt4_pred42.jpg,100,0.5,4,2
11,807,000000000807_ILSVRC2012_val_00002699.JPEG,87,n03188531,193,n07747607,0.9649701760829703,0.0536811389029026,results/rfdetr_14best_category_confusion_overlays_diverse/11_img807_gt87_pred193.jpg,100,0.5,4,2
12,637,000000000637_ILSVRC2012_val_00002126.JPEG,4,n01503061,42,n02437136,0.9644780807891831,0.014388183131814003,results/rfdetr_14best_category_confusion_overlays_diverse/12_img637_gt4_pred42.jpg,100,0.5,4,2
13,949,000000000949_ILSVRC2012_val_00003208.JPEG,4,n01503061,42,n02437136,0.960333367424694,0.004506313242018223,results/rfdetr_14best_category_confusion_overlays_diverse/13_img949_gt4_pred42.jpg,100,0.5,4,2
14,807,000000000807_ILSVRC2012_val_00002699.JPEG,87,n03188531,193,n07747607,0.9593086135486322,0.10451272875070572,results/rfdetr_14best_category_confusion_overlays_diverse/14_img807_gt87_pred193.jpg,100,0.5,4,2
15,116,000000000116_ILSVRC2012_val_00000431.JPEG,72,n02958343,9,n01770393,0.9286111938584763,0.0383332222700119,results/rfdetr_14best_category_confusion_overlays_diverse/15_img116_gt72_pred9.jpg,100,0.5,4,2
16,343,000000000343_ILSVRC2012_val_00001178.JPEG,72,n02958343,9,n01770393,0.9075933490241326,0.05563737452030182,results/rfdetr_14best_category_confusion_overlays_diverse/16_img343_gt72_pred9.jpg,100,0.5,4,2
17,429,000000000429_ILSVRC2012_val_00001468.JPEG,58,n02799071,115,n03720891,0.9256224228801887,0.4626038372516632,results/rfdetr_14best_category_confusion_overlays_diverse/17_img429_gt58_pred115.jpg,100,0.5,4,2
18,429,000000000429_ILSVRC2012_val_00001468.JPEG,58,n02799071,115,n03720891,0.9174020806980968,0.24948696792125702,results/rfdetr_14best_category_confusion_overlays_diverse/18_img429_gt58_pred115.jpg,100,0.5,4,2
19,1007,000000001007_ILSVRC2012_val_00003410.JPEG,4,n01503061,191,n07739125,0.9479763545126589,0.010363656096160412,results/rfdetr_14best_category_confusion_overlays_diverse/19_img1007_gt4_pred191.jpg,100,0.5,4,2
20,595,000000000595_ILSVRC2012_val_00001967.JPEG,183,n07695742,115,n03720891,0.8997709561468296,0.17479442059993744,results/rfdetr_14best_category_confusion_overlays_diverse/20_img595_gt183_pred115.jpg,100,0.5,4,2
21,492,000000000492_ILSVRC2012_val_00001641.JPEG,4,n01503061,191,n07739125,0.8700625484044959,0.02136782556772232,results/rfdetr_14best_category_confusion_overlays_diverse/21_img492_gt4_pred191.jpg,100,0.5,4,2
22,1542,000000001542_ILSVRC2012_val_00005205.JPEG,47,n02503517,46,n02484322,0.8537707416814624,0.8120557069778442,results/rfdetr_14best_category_confusion_overlays_diverse/22_img1542_gt47_pred46.jpg,100,0.5,4,2
23,492,000000000492_ILSVRC2012_val_00001641.JPEG,4,n01503061,191,n07739125,0.8483562085856222,0.01757442019879818,results/rfdetr_14best_category_confusion_overlays_diverse/23_img492_gt4_pred191.jpg,100,0.5,4,2
24,651,000000000651_ILSVRC2012_val_00002170.JPEG,4,n01503061,191,n07739125,0.8217521425626622,0.0159063171595335,results/rfdetr_14best_category_confusion_overlays_diverse/24_img651_gt4_pred191.jpg,100,0.5,4,2
