source_summary,setting,split_protocol,mean_rank,ranked_metric_count,class_ap50,class_ap50_rank,offcenter_ap50,offcenter_ap50_rank,small_ap50,small_ap50_rank,loc_ap50,loc_ap50_rank,class_ap,class_ap75,loc_ap,loc_ap75,center_ap50,medium_ap50,large_ap50,notes,all_ap50,checkpoint_source,model_num_classes,test_annotations,test_images,train_annotations,train_images
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume20ep_seed41,indtest_seed43,3.75,4,0.362523,1,0.324100,1,0.333400,1,0.627316,12,0.257279,0.256602,0.458248,0.492809,0.304600,0.288500,0.458800,full_small_resumed_20epoch_regular_checkpoint_eval_on_independent_test,0.362523,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_seed41_20best_freshlr3e5_4ep,indtest_seed43,3.75,4,0.354619,2,0.308400,2,0.311100,3,0.630370,8,0.249406,0.239603,0.444929,0.465089,0.318600,0.375100,0.388800,full_small_seed41_20best_pretrain_weights_fresh_optimizer_lr3e-5_4epoch_eval_on_independent_test,0.354619,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume16ep_seed41,indtest_seed43,3.75,4,0.320902,4,0.288100,6,0.325800,2,0.637388,3,0.220579,0.226834,0.470123,0.507183,0.295100,0.298700,0.401400,full_small_resumed_16epoch_regular_checkpoint_eval_on_independent_test,0.320902,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_random_seed41_train1000_protocol_summary.csv,rfdetr_random_seed41_train1000_small_384_10best_freshlr1e4_4ep,random_seed41_train1000_val200_test200,4.25,4,0.315512,5,0.308100,3,0.279200,8,0.642667,1,0.239362,0.251746,0.491205,0.536923,0.268900,0.316700,0.357200,rf-detr_small_384_random_image_split_train1000_valid200_test200_seed41_10best_pretrain_weights_fresh_optimizer_lr1e-4_4epoch_regular_checkpoint,,checkpoint_best_regular.pth,200,611,200,2894,1000
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume12ep_seed41,indtest_seed43,5,4,0.307024,7,0.295500,5,0.291100,6,0.639684,2,0.209962,0.215466,0.477560,0.521807,0.265100,0.299700,0.379300,full_small_resumed_12epoch_regular_checkpoint_eval_on_independent_test,0.307024,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_random_seed41_train1000_protocol_summary.csv,rfdetr_random_seed41_train1000_small_384_14best_freshlr5e5_4ep,random_seed41_train1000_val200_test200,6.25,4,0.324214,3,0.306400,4,0.298000,4,0.627073,14,0.242077,0.252270,0.473255,0.508106,0.283800,0.314200,0.386400,rf-detr_small_384_random_image_split_train1000_valid200_test200_seed41_10best_pretrain_weights_fresh_optimizer_lr5e-5_4epoch_regular_checkpoint,,checkpoint_best_regular.pth,200,611,200,2894,1000
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_seed43_12best_freshlr3e5_4ep,indtest_seed43,6.75,4,0.310155,6,0.275500,7,0.289000,7,0.631620,7,0.211398,0.218983,0.471260,0.514434,0.283200,0.302500,0.413700,full_small_seed43_12best_pretrain_weights_fresh_optimizer_lr3e-5_4epoch_eval_on_independent_test,0.310155,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume12ep_seed43,indtest_seed43,8.25,4,0.292320,8,0.256200,9,0.292100,5,0.628975,11,0.193862,0.180187,0.460322,0.480921,0.276000,0.255500,0.423500,full_small_resumed_12epoch_regular_checkpoint_second_seed_eval_on_independent_test,0.292320,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume16ep_seed43,indtest_seed43,8.75,4,0.275264,10,0.234300,10,0.254400,10,0.634779,5,0.192063,0.195740,0.468699,0.511196,0.277300,0.278000,0.435900,full_small_resumed_16epoch_regular_checkpoint_second_seed_eval_on_independent_test,0.275264,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume5ep_seed41,indtest_seed43,10,4,0.240536,12,0.223800,12,0.245700,12,0.635207,4,0.171499,0.179511,0.468989,0.520419,0.225300,0.257200,0.376800,full_small_resumed_5epoch_regular_checkpoint_eval_on_independent_test,0.240536,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_random_seed41_train1000_protocol_summary.csv,rfdetr_random_seed41_train1000_small_384_6best_freshlr1e4_4ep,random_seed41_train1000_val200_test200,10.75,4,0.291207,9,0.260300,8,0.245800,11,0.626508,15,0.219014,0.239467,0.483441,0.535004,0.261500,0.286500,0.364600,rf-detr_small_384_random_image_split_train1000_valid200_test200_seed41_6best_pretrain_weights_fresh_optimizer_lr1e-4_4epoch_regular_checkpoint,,checkpoint_best_regular.pth,200,611,200,2894,1000
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume8ep_seed41,indtest_seed43,11,4,0.267670,11,0.226000,11,0.259400,9,0.627082,13,0.192975,0.205326,0.462575,0.499656,0.252700,0.249200,0.373100,full_small_resumed_8epoch_regular_checkpoint_eval_on_independent_test,0.267670,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_5ep_seed43,indtest_seed43,14.5,4,0.176235,17,0.150600,16,0.122000,19,0.632709,6,0.129274,0.131835,0.469841,0.510327,0.184100,0.220600,0.326300,full_small_5epoch_regular_checkpoint_second_seed_eval_on_independent_test,0.176235,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,teacherpre_gtfinetune_small_resume8_s025k20_384_1p3ep_seed41,indtest_seed43,14.75,4,0.185512,16,0.148622,17,0.126896,17,0.630016,9,0.134947,0.138581,0.472327,0.505685,0.197496,0.248611,0.316380,small_resume8_teacher_only_pretrain_1ep_then_gt_finetune_3ep_regular_checkpoint,0.185512,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_random_seed41_train1000_protocol_summary.csv,rfdetr_random_seed41_train1000_small_384_2best_freshlr1e4_4ep,random_seed41_train1000_val200_test200,15.25,4,0.219564,13,0.207300,13,0.189000,13,0.611090,22,0.174623,0.184079,0.482319,0.529963,0.206700,0.224800,0.326300,rf-detr_small_384_random_image_split_train1000_valid200_test200_seed41_2best_pretrain_weights_fresh_optimizer_lr1e-4_4epoch_regular_checkpoint,,checkpoint_best_regular.pth,200,611,200,2894,1000
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume8ep_seed43,indtest_seed43,15.75,4,0.206595,14,0.179500,14,0.169700,14,0.613503,21,0.147108,0.149101,0.456494,0.497502,0.252700,0.256200,0.397300,full_small_resumed_8epoch_regular_checkpoint_second_seed_eval_on_independent_test,0.206595,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_random_seed41_train1000_protocol_summary.csv,rfdetr_stratified_seed41_train1000_small_384_2best_freshlr1e4_4ep,stratified_seed41_train1000_val200_test200_min3,17,4,0.186890,15,0.167495,15,0.154404,15,0.558435,23,0.154315,0.164455,0.420614,0.448386,0.187689,0.222553,0.296759,rf-detr_small_384_stratified_train1000_valid200_test200_min3_seed41_2best_pretrain_weights_fresh_optimizer_lr1e-4_4epoch_regular_checkpoint,,checkpoint_best_regular.pth,200,604,200,4409,1000
results/rfdetr_indtest_seed43_detector_side_summary.csv,teacherpre_gtfinetune_small_resume8_s025k20_384_1p3ep_seed43,indtest_seed43,17.5,4,0.153956,21,0.134200,21,0.125100,18,0.629979,10,0.106456,0.103455,0.459990,0.502640,0.157900,0.218000,0.253900,small_resume8_teacher_only_pretrain_1ep_then_gt_finetune_3ep_regular_checkpoint_second_seed,0.153956,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,teacherpre_gtfinetune_small_resume12_s015k20_384_1p3ep_seed41,indtest_seed43,17.75,4,0.160115,20,0.138900,18,0.127600,16,0.625751,17,0.107790,0.103758,0.461845,0.501243,0.156700,0.210300,0.254200,small_resume12_teacher_only_pretrain_1ep_then_gt_finetune_3ep_regular_checkpoint,0.160115,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,gt_384_4ep_seed43,indtest_seed43,20,4,0.161802,19,0.134318,20,0.105089,21,0.615148,20,0.115099,0.118020,0.456422,0.497347,0.165837,0.239896,0.254318,gt_only_equal_total_epoch_regular_checkpoint,0.161802,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,gt_384_4ep_seed41,indtest_seed43,20.25,4,0.151659,22,0.138266,19,0.104994,22,0.619391,18,0.107866,0.104634,0.448049,0.475165,0.144216,0.212483,0.240351,gt_only_equal_total_epoch_regular_checkpoint_second_seed,0.151659,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,teacherpre_gtfinetune_s025k20_384_1p3ep_seed43,indtest_seed43,20.5,4,0.161838,18,0.131044,22,0.103460,23,0.617036,19,0.126062,0.125864,0.468619,0.510113,0.175714,0.213771,0.302331,nano5_teacher_only_pretrain_1ep_then_gt_finetune_3ep_regular_checkpoint,0.161838,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,teacherpre_gtfinetune_s025k20_384_1p3ep_seed41,indtest_seed43,20.5,4,0.150224,23,0.114253,23,0.121623,20,0.626287,16,0.104396,0.104209,0.468133,0.511960,0.170975,0.179687,0.297013,nano5_teacher_only_pretrain_1ep_then_gt_finetune_3ep_regular_checkpoint_second_seed,0.150224,checkpoint_best_regular.pth,200,,,1610,
