source_summary,setting,split_protocol,class_ap,class_ap50,class_ap75,loc_ap,loc_ap50,loc_ap75,offcenter_ap50,center_ap50,small_ap50,medium_ap50,large_ap50,notes,all_ap50,checkpoint_source,model_num_classes,test_annotations,test_images,train_annotations,train_images
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume20ep_seed41,indtest_seed43,0.257279,0.362523,0.256602,0.458248,0.627316,0.492809,0.324100,0.304600,0.333400,0.288500,0.458800,full_small_resumed_20epoch_regular_checkpoint_eval_on_independent_test,0.362523,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_seed41_20best_freshlr3e5_4ep,indtest_seed43,0.249406,0.354619,0.239603,0.444929,0.630370,0.465089,0.308400,0.318600,0.311100,0.375100,0.388800,full_small_seed41_20best_pretrain_weights_fresh_optimizer_lr3e-5_4epoch_eval_on_independent_test,0.354619,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_random_seed41_train1000_protocol_summary.csv,rfdetr_random_seed41_train1000_small_384_14best_freshlr5e5_4ep,random_seed41_train1000_val200_test200,0.242077,0.324214,0.252270,0.473255,0.627073,0.508106,0.306400,0.283800,0.298000,0.314200,0.386400,rf-detr_small_384_random_image_split_train1000_valid200_test200_seed41_10best_pretrain_weights_fresh_optimizer_lr5e-5_4epoch_regular_checkpoint,,checkpoint_best_regular.pth,200,611,200,2894,1000
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume16ep_seed41,indtest_seed43,0.220579,0.320902,0.226834,0.470123,0.637388,0.507183,0.288100,0.295100,0.325800,0.298700,0.401400,full_small_resumed_16epoch_regular_checkpoint_eval_on_independent_test,0.320902,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_random_seed41_train1000_protocol_summary.csv,rfdetr_random_seed41_train1000_small_384_10best_freshlr1e4_4ep,random_seed41_train1000_val200_test200,0.239362,0.315512,0.251746,0.491205,0.642667,0.536923,0.308100,0.268900,0.279200,0.316700,0.357200,rf-detr_small_384_random_image_split_train1000_valid200_test200_seed41_10best_pretrain_weights_fresh_optimizer_lr1e-4_4epoch_regular_checkpoint,,checkpoint_best_regular.pth,200,611,200,2894,1000
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_seed43_12best_freshlr3e5_4ep,indtest_seed43,0.211398,0.310155,0.218983,0.471260,0.631620,0.514434,0.275500,0.283200,0.289000,0.302500,0.413700,full_small_seed43_12best_pretrain_weights_fresh_optimizer_lr3e-5_4epoch_eval_on_independent_test,0.310155,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume12ep_seed41,indtest_seed43,0.209962,0.307024,0.215466,0.477560,0.639684,0.521807,0.295500,0.265100,0.291100,0.299700,0.379300,full_small_resumed_12epoch_regular_checkpoint_eval_on_independent_test,0.307024,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume12ep_seed43,indtest_seed43,0.193862,0.292320,0.180187,0.460322,0.628975,0.480921,0.256200,0.276000,0.292100,0.255500,0.423500,full_small_resumed_12epoch_regular_checkpoint_second_seed_eval_on_independent_test,0.292320,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_random_seed41_train1000_protocol_summary.csv,rfdetr_random_seed41_train1000_small_384_6best_freshlr1e4_4ep,random_seed41_train1000_val200_test200,0.219014,0.291207,0.239467,0.483441,0.626508,0.535004,0.260300,0.261500,0.245800,0.286500,0.364600,rf-detr_small_384_random_image_split_train1000_valid200_test200_seed41_6best_pretrain_weights_fresh_optimizer_lr1e-4_4epoch_regular_checkpoint,,checkpoint_best_regular.pth,200,611,200,2894,1000
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume16ep_seed43,indtest_seed43,0.192063,0.275264,0.195740,0.468699,0.634779,0.511196,0.234300,0.277300,0.254400,0.278000,0.435900,full_small_resumed_16epoch_regular_checkpoint_second_seed_eval_on_independent_test,0.275264,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume8ep_seed41,indtest_seed43,0.192975,0.267670,0.205326,0.462575,0.627082,0.499656,0.226000,0.252700,0.259400,0.249200,0.373100,full_small_resumed_8epoch_regular_checkpoint_eval_on_independent_test,0.267670,checkpoint_best_regular.pth,200,,,1610,
results/rfdetr_indtest_seed43_detector_side_summary.csv,full_small_resume5ep_seed41,indtest_seed43,0.171499,0.240536,0.179511,0.468989,0.635207,0.520419,0.223800,0.225300,0.245700,0.257200,0.376800,full_small_resumed_5epoch_regular_checkpoint_eval_on_independent_test,0.240536,checkpoint_best_regular.pth,200,,,1610,
