setting,split_protocol,train_annotations,class_ap,class_ap50,class_ap75,loc_ap,loc_ap50,loc_ap75,all_ap50,offcenter_ap50,center_ap50,small_ap50,medium_ap50,large_ap50,model_num_classes,checkpoint_source,notes
gt_384_1ep_seed43,indtest_seed43,1610,0.018388,0.022427,0.020116,0.156717,0.211294,0.162817,0.022427,0.015402,0.026558,0.032908,0.029273,0.044098,200,checkpoint_best_regular.pth,gt_only_baseline_regular_checkpoint
gt_384_4ep_seed43,indtest_seed43,1610,0.115099,0.161802,0.118020,0.456422,0.615148,0.497347,0.161802,0.134318,0.165837,0.105089,0.239896,0.254318,200,checkpoint_best_regular.pth,gt_only_equal_total_epoch_regular_checkpoint
teacher_only_s025k20_384_1ep_seed43,indtest_seed43,2191,0.017054,0.020376,0.018180,0.141060,0.190785,0.144402,0.020376,0.014549,0.024823,0.003760,0.029071,0.042012,200,checkpoint_best_regular.pth,nano5_train_teacher_score025_top20_teacher_only_regular_checkpoint
teacherpre_gtfinetune_s025k20_384_1p3ep_seed43,indtest_seed43,1610,0.126062,0.161838,0.125864,0.468619,0.617036,0.510113,0.161838,0.131044,0.175714,0.103460,0.213771,0.302331,200,checkpoint_best_regular.pth,nano5_teacher_only_pretrain_1ep_then_gt_finetune_3ep_regular_checkpoint
gt_384_4ep_seed41,indtest_seed43,1610,0.107866,0.151659,0.104634,0.448049,0.619391,0.475165,0.151659,0.138266,0.144216,0.104994,0.212483,0.240351,200,checkpoint_best_regular.pth,gt_only_equal_total_epoch_regular_checkpoint_second_seed
teacherpre_gtfinetune_s025k20_384_1p3ep_seed41,indtest_seed43,1610,0.104396,0.150224,0.104209,0.468133,0.626287,0.511960,0.150224,0.114253,0.170975,0.121623,0.179687,0.297013,200,checkpoint_best_regular.pth,nano5_teacher_only_pretrain_1ep_then_gt_finetune_3ep_regular_checkpoint_second_seed
full_small_resume5ep_seed41,indtest_seed43,1610,0.171499,0.240536,0.179511,0.468989,0.635207,0.520419,0.240536,0.223800,0.225300,0.245700,0.257200,0.376800,200,checkpoint_best_regular.pth,full_small_resumed_5epoch_regular_checkpoint_eval_on_independent_test
full_small_resume8ep_seed41,indtest_seed43,1610,0.192975,0.267670,0.205326,0.462575,0.627082,0.499656,0.267670,0.226000,0.252700,0.259400,0.249200,0.373100,200,checkpoint_best_regular.pth,full_small_resumed_8epoch_regular_checkpoint_eval_on_independent_test
full_small_resume12ep_seed41,indtest_seed43,1610,0.209962,0.307024,0.215466,0.477560,0.639684,0.521807,0.307024,0.295500,0.265100,0.291100,0.299700,0.379300,200,checkpoint_best_regular.pth,full_small_resumed_12epoch_regular_checkpoint_eval_on_independent_test
full_small_5ep_seed43,indtest_seed43,1610,0.129274,0.176235,0.131835,0.469841,0.632709,0.510327,0.176235,0.150600,0.184100,0.122000,0.220600,0.326300,200,checkpoint_best_regular.pth,full_small_5epoch_regular_checkpoint_second_seed_eval_on_independent_test
full_small_resume8ep_seed43,indtest_seed43,1610,0.147108,0.206595,0.149101,0.456494,0.613503,0.497502,0.206595,0.179500,0.252700,0.169700,0.256200,0.397300,200,checkpoint_best_regular.pth,full_small_resumed_8epoch_regular_checkpoint_second_seed_eval_on_independent_test
full_small_resume12ep_seed43,indtest_seed43,1610,0.193862,0.292320,0.180187,0.460322,0.628975,0.480921,0.292320,0.256200,0.276000,0.292100,0.255500,0.423500,200,checkpoint_best_regular.pth,full_small_resumed_12epoch_regular_checkpoint_second_seed_eval_on_independent_test
full_small_resume16ep_seed41,indtest_seed43,1610,0.220579,0.320902,0.226834,0.470123,0.637388,0.507183,0.320902,0.288100,0.295100,0.325800,0.298700,0.401400,200,checkpoint_best_regular.pth,full_small_resumed_16epoch_regular_checkpoint_eval_on_independent_test
teacher_only_small_resume8_s025k20_384_1ep_seed41,indtest_seed43,2191,0.044111,0.054666,0.050390,0.257000,0.328837,0.277935,0.054666,0.043700,0.061100,0.033700,0.090000,0.102600,200,checkpoint_best_regular.pth,small_resume8_train_teacher_score025_top20_teacher_only_regular_checkpoint
teacherpre_gtfinetune_small_resume8_s025k20_384_1p3ep_seed41,indtest_seed43,1610,0.134947,0.185512,0.138581,0.472327,0.630016,0.505685,0.185512,0.148622,0.197496,0.126896,0.248611,0.316380,200,checkpoint_best_regular.pth,small_resume8_teacher_only_pretrain_1ep_then_gt_finetune_3ep_regular_checkpoint
teacher_only_small_resume8_s025k20_384_1ep_seed43,indtest_seed43,2191,0.039363,0.049258,0.041610,0.252482,0.333881,0.265809,0.049258,0.038100,0.057900,0.061900,0.075200,0.102900,200,checkpoint_best_regular.pth,small_resume8_train_teacher_score025_top20_teacher_only_regular_checkpoint_second_seed
