slice,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
all,10,0.5,158,0.13924050632911392,0.06329113924050633,0.2721518987341772,0.4545454545454546,0.2088607594936709,0.13489820829228563,0.05490642386297105,0.22658323960643306
all,10,0.75,158,0.10126582278481013,0.04430379746835443,0.16455696202531644,0.4375,0.12025316455696201,0.13489820829228563,0.05490642386297105,0.22658323960643306
all,50,0.5,158,0.5063291139240507,0.25949367088607594,0.3037974683544304,0.5125,0.044303797468354444,0.4364792709409423,0.21093073732948137,0.24915417231969036
all,50,0.75,158,0.33544303797468356,0.15822784810126583,0.18354430379746836,0.4716981132075472,0.025316455696202528,0.4364792709409423,0.21093073732948137,0.24915417231969036
all,100,0.5,158,0.6518987341772152,0.2911392405063291,0.310126582278481,0.4466019417475728,0.01898734177215189,0.5536690001440424,0.23600184100112656,0.25030635257144135
all,100,0.75,158,0.41139240506329117,0.18354430379746836,0.18354430379746836,0.4461538461538461,0.0,0.5536690001440424,0.23600184100112656,0.25030635257144135
offcenter,10,0.5,110,0.13636363636363635,0.08181818181818182,0.3090909090909091,0.6000000000000001,0.22727272727272727,0.12811943212110802,0.06767113645020924,0.247245389308394
offcenter,10,0.75,110,0.1,0.05454545454545454,0.18181818181818182,0.5454545454545454,0.1272727272727273,0.12811943212110802,0.06767113645020924,0.247245389308394
offcenter,50,0.5,110,0.5363636363636364,0.3,0.35454545454545455,0.559322033898305,0.054545454545454564,0.4456590368243699,0.23894147857164158,0.2796654562965272
offcenter,50,0.75,110,0.35454545454545455,0.17272727272727273,0.20909090909090908,0.48717948717948717,0.03636363636363635,0.4456590368243699,0.23894147857164158,0.2796654562965272
offcenter,100,0.5,110,0.6818181818181818,0.33636363636363636,0.36363636363636365,0.49333333333333335,0.027272727272727282,0.5593813373520751,0.2665763218626295,0.28132040611267867
offcenter,100,0.75,110,0.42727272727272725,0.20909090909090908,0.20909090909090908,0.48936170212765956,0.0,0.5593813373520751,0.2665763218626295,0.28132040611267867
center,10,0.5,48,0.14583333333333334,0.020833333333333332,0.1875,0.14285714285714285,0.16666666666666666,0.15043290368456766,0.02565395751721687,0.17923247987277258
center,10,0.75,48,0.10416666666666667,0.020833333333333332,0.125,0.19999999999999998,0.10416666666666667,0.15043290368456766,0.02565395751721687,0.17923247987277258
center,50,0.5,48,0.4375,0.16666666666666666,0.1875,0.38095238095238093,0.020833333333333343,0.41544230745808747,0.14673945531619748,0.17923247987277258
center,50,0.75,48,0.2916666666666667,0.125,0.125,0.42857142857142855,0.0,0.41544230745808747,0.14673945531619748,0.17923247987277258
center,100,0.5,48,0.5833333333333334,0.1875,0.1875,0.3214285714285714,0.0,0.5405782273756342,0.1659353223601823,0.17923247987277258
center,100,0.75,48,0.375,0.125,0.125,0.3333333333333333,0.0,0.5405782273756342,0.1659353223601823,0.17923247987277258
small,10,0.5,158,0.13924050632911392,0.06329113924050633,0.2721518987341772,0.4545454545454546,0.2088607594936709,0.13489820829228563,0.05490642386297105,0.22658323960643306
small,10,0.75,158,0.10126582278481013,0.04430379746835443,0.16455696202531644,0.4375,0.12025316455696201,0.13489820829228563,0.05490642386297105,0.22658323960643306
small,50,0.5,158,0.5063291139240507,0.25949367088607594,0.3037974683544304,0.5125,0.044303797468354444,0.4364792709409423,0.21093073732948137,0.24915417231969036
small,50,0.75,158,0.33544303797468356,0.15822784810126583,0.18354430379746836,0.4716981132075472,0.025316455696202528,0.4364792709409423,0.21093073732948137,0.24915417231969036
small,100,0.5,158,0.6518987341772152,0.2911392405063291,0.310126582278481,0.4466019417475728,0.01898734177215189,0.5536690001440424,0.23600184100112656,0.25030635257144135
small,100,0.75,158,0.41139240506329117,0.18354430379746836,0.18354430379746836,0.4461538461538461,0.0,0.5536690001440424,0.23600184100112656,0.25030635257144135
medium,10,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,10,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,50,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,50,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,100,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,100,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,10,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,10,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,50,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,50,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,100,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,100,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
