slice,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
all,10,0.5,158,0.5063291139240507,0.18354430379746836,0.2721518987341772,0.3625,0.08860759493670886,0.4294165865707814,0.15292686541713973,0.22125383970080734
all,10,0.75,158,0.310126582278481,0.12025316455696203,0.16455696202531644,0.38775510204081637,0.04430379746835442,0.4294165865707814,0.15292686541713973,0.22125383970080734
all,50,0.5,158,0.7278481012658228,0.24050632911392406,0.3037974683544304,0.3304347826086957,0.06329113924050633,0.6048389792674773,0.1945392606519058,0.24915417231969036
all,50,0.75,158,0.43037974683544306,0.15822784810126583,0.18354430379746836,0.36764705882352944,0.025316455696202528,0.6048389792674773,0.1945392606519058,0.24915417231969036
all,100,0.5,158,0.7784810126582279,0.2721518987341772,0.310126582278481,0.34959349593495936,0.03797468354430378,0.6301176839846728,0.2189740417327412,0.25030635257144135
all,100,0.75,158,0.4430379746835443,0.17721518987341772,0.18354430379746836,0.4,0.006329113924050639,0.6301176839846728,0.2189740417327412,0.25030635257144135
offcenter,10,0.5,110,0.509090909090909,0.2,0.3090909090909091,0.3928571428571429,0.10909090909090907,0.422604350883118,0.16436972524038518,0.24346572441754044
offcenter,10,0.75,110,0.3,0.12727272727272726,0.18181818181818182,0.4242424242424242,0.054545454545454564,0.422604350883118,0.16436972524038518,0.24346572441754044
offcenter,50,0.5,110,0.7545454545454545,0.2727272727272727,0.35454545454545455,0.3614457831325301,0.08181818181818185,0.6105203477378857,0.21726471370807876,0.2796654562965272
offcenter,50,0.75,110,0.45454545454545453,0.17272727272727273,0.20909090909090908,0.38,0.03636363636363635,0.6105203477378857,0.21726471370807876,0.2796654562965272
offcenter,100,0.5,110,0.7909090909090909,0.3181818181818182,0.36363636363636365,0.40229885057471265,0.04545454545454547,0.6285073523817917,0.25031841563783125,0.28132040611267867
offcenter,100,0.75,110,0.4636363636363636,0.2,0.20909090909090908,0.43137254901960786,0.009090909090909066,0.6285073523817917,0.25031841563783125,0.28132040611267867
center,10,0.5,48,0.5,0.14583333333333334,0.1875,0.2916666666666667,0.04166666666666666,0.4450279600216768,0.12670364498886896,0.17035160389162726
center,10,0.75,48,0.3333333333333333,0.10416666666666667,0.125,0.31250000000000006,0.02083333333333333,0.4450279600216768,0.12670364498886896,0.17035160389162726
center,50,0.5,48,0.6666666666666666,0.16666666666666666,0.1875,0.25,0.020833333333333343,0.5918191765227913,0.14246009739817608,0.17923247987277258
center,50,0.75,48,0.375,0.125,0.125,0.3333333333333333,0.0,0.5918191765227913,0.14246009739817608,0.17923247987277258
center,100,0.5,48,0.75,0.16666666666666666,0.1875,0.2222222222222222,0.020833333333333343,0.6338080272412756,0.1471431848669099,0.17923247987277258
center,100,0.75,48,0.3958333333333333,0.125,0.125,0.31578947368421056,0.0,0.6338080272412756,0.1471431848669099,0.17923247987277258
small,10,0.5,158,0.5063291139240507,0.18354430379746836,0.2721518987341772,0.3625,0.08860759493670886,0.4294165865707814,0.15292686541713973,0.22125383970080734
small,10,0.75,158,0.310126582278481,0.12025316455696203,0.16455696202531644,0.38775510204081637,0.04430379746835442,0.4294165865707814,0.15292686541713973,0.22125383970080734
small,50,0.5,158,0.7278481012658228,0.24050632911392406,0.3037974683544304,0.3304347826086957,0.06329113924050633,0.6048389792674773,0.1945392606519058,0.24915417231969036
small,50,0.75,158,0.43037974683544306,0.15822784810126583,0.18354430379746836,0.36764705882352944,0.025316455696202528,0.6048389792674773,0.1945392606519058,0.24915417231969036
small,100,0.5,158,0.7784810126582279,0.2721518987341772,0.310126582278481,0.34959349593495936,0.03797468354430378,0.6301176839846728,0.2189740417327412,0.25030635257144135
small,100,0.75,158,0.4430379746835443,0.17721518987341772,0.18354430379746836,0.4,0.006329113924050639,0.6301176839846728,0.2189740417327412,0.25030635257144135
medium,10,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,10,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,50,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,50,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,100,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,100,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,10,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,10,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,50,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,50,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,100,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,100,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
