slice,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
all,10,0.5,158,0.4873417721518987,0.13924050632911392,0.16455696202531644,0.2857142857142857,0.025316455696202528,0.4214765398749325,0.12713769292184868,0.14402156796338525
all,10,0.75,158,0.3227848101265823,0.12025316455696203,0.13291139240506328,0.37254901960784315,0.01265822784810125,0.4214765398749325,0.12713769292184868,0.14402156796338525
all,50,0.5,158,0.7278481012658228,0.27848101265822783,0.27848101265822783,0.38260869565217387,0.0,0.6050163401020016,0.22860427813441603,0.22862203090549643
all,50,0.75,158,0.43037974683544306,0.17721518987341772,0.17721518987341772,0.4117647058823529,0.0,0.6050163401020016,0.22860427813441603,0.22862203090549643
all,100,0.5,158,0.7721518987341772,0.31645569620253167,0.3227848101265823,0.4098360655737705,0.006329113924050611,0.6303328860957613,0.25003046593905426,0.25328985849129093
all,100,0.75,158,0.44936708860759494,0.189873417721519,0.189873417721519,0.4225352112676057,0.0,0.6303328860957613,0.25003046593905426,0.25328985849129093
offcenter,10,0.5,110,0.5,0.13636363636363635,0.17272727272727273,0.2727272727272727,0.036363636363636376,0.41480338772605635,0.11284133800453032,0.13709272215510104
offcenter,10,0.75,110,0.32727272727272727,0.10909090909090909,0.12727272727272726,0.3333333333333333,0.018181818181818174,0.41480338772605635,0.11284133800453032,0.13709272215510104
offcenter,50,0.5,110,0.7545454545454545,0.2818181818181818,0.2818181818181818,0.37349397590361444,0.0,0.613809907058927,0.2233777638002958,0.2234032632351204
offcenter,50,0.75,110,0.45454545454545453,0.17272727272727273,0.17272727272727273,0.38,0.0,0.613809907058927,0.2233777638002958,0.2234032632351204
offcenter,100,0.5,110,0.7818181818181819,0.3090909090909091,0.3090909090909091,0.3953488372093023,0.0,0.6295129497541657,0.23872064910733676,0.23872064910733676
offcenter,100,0.75,110,0.4636363636363636,0.18181818181818182,0.18181818181818182,0.39215686274509803,0.0,0.6295129497541657,0.23872064910733676,0.23872064910733676
center,10,0.5,48,0.4583333333333333,0.14583333333333334,0.14583333333333334,0.31818181818181823,0.0,0.43676918021610694,0.15990017294070327,0.15990017294070327
center,10,0.75,48,0.3125,0.14583333333333334,0.14583333333333334,0.4666666666666667,0.0,0.43676918021610694,0.15990017294070327,0.15990017294070327
center,50,0.5,48,0.6666666666666666,0.2708333333333333,0.2708333333333333,0.40625,0.0,0.584864415825714,0.24058170681677485,0.24058170681677485
center,50,0.75,48,0.375,0.1875,0.1875,0.5,0.0,0.584864415825714,0.24058170681677485,0.24058170681677485
center,100,0.5,48,0.75,0.3333333333333333,0.3541666666666667,0.4444444444444444,0.02083333333333337,0.6322119068785844,0.27594879617840695,0.28667762999618585
center,100,0.75,48,0.4166666666666667,0.20833333333333334,0.20833333333333334,0.5,0.0,0.6322119068785844,0.27594879617840695,0.28667762999618585
small,10,0.5,158,0.4873417721518987,0.13924050632911392,0.16455696202531644,0.2857142857142857,0.025316455696202528,0.4214765398749325,0.12713769292184868,0.14402156796338525
small,10,0.75,158,0.3227848101265823,0.12025316455696203,0.13291139240506328,0.37254901960784315,0.01265822784810125,0.4214765398749325,0.12713769292184868,0.14402156796338525
small,50,0.5,158,0.7278481012658228,0.27848101265822783,0.27848101265822783,0.38260869565217387,0.0,0.6050163401020016,0.22860427813441603,0.22862203090549643
small,50,0.75,158,0.43037974683544306,0.17721518987341772,0.17721518987341772,0.4117647058823529,0.0,0.6050163401020016,0.22860427813441603,0.22862203090549643
small,100,0.5,158,0.7721518987341772,0.31645569620253167,0.3227848101265823,0.4098360655737705,0.006329113924050611,0.6303328860957613,0.25003046593905426,0.25328985849129093
small,100,0.75,158,0.44936708860759494,0.189873417721519,0.189873417721519,0.4225352112676057,0.0,0.6303328860957613,0.25003046593905426,0.25328985849129093
medium,10,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,10,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,50,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,50,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,100,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,100,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,10,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,10,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,50,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,50,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,100,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,100,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
