slice,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
all,10,0.5,158,0.43037974683544306,0.13924050632911392,0.15822784810126583,0.32352941176470584,0.018987341772151917,0.376364476617931,0.1261783071982137,0.13978909325532513
all,10,0.75,158,0.2974683544303797,0.12025316455696203,0.13291139240506328,0.4042553191489362,0.01265822784810125,0.376364476617931,0.1261783071982137,0.13978909325532513
all,50,0.5,158,0.6962025316455697,0.26582278481012656,0.27848101265822783,0.3818181818181818,0.012658227848101278,0.5851186994140578,0.21972311515244553,0.2304679706285625
all,50,0.75,158,0.4240506329113924,0.17088607594936708,0.17721518987341772,0.40298507462686567,0.006329113924050639,0.5851186994140578,0.21972311515244553,0.2304679706285625
all,100,0.5,158,0.7468354430379747,0.310126582278481,0.3227848101265823,0.4152542372881356,0.012658227848101278,0.6157781476624575,0.24589559328371163,0.25328985849129093
all,100,0.75,158,0.4430379746835443,0.189873417721519,0.189873417721519,0.4285714285714286,0.0,0.6157781476624575,0.24589559328371163,0.25328985849129093
offcenter,10,0.5,110,0.44545454545454544,0.13636363636363635,0.16363636363636364,0.30612244897959184,0.027272727272727282,0.3730448203579047,0.11284804715335331,0.13239808530811337
offcenter,10,0.75,110,0.3,0.10909090909090909,0.12727272727272726,0.36363636363636365,0.018181818181818174,0.3730448203579047,0.11284804715335331,0.13239808530811337
offcenter,50,0.5,110,0.7181818181818181,0.2636363636363636,0.2818181818181818,0.3670886075949367,0.018181818181818188,0.593601505389004,0.21140031573076706,0.2260547039282517
offcenter,50,0.75,110,0.44545454545454544,0.16363636363636364,0.17272727272727273,0.3673469387755102,0.009090909090909094,0.593601505389004,0.21140031573076706,0.2260547039282517
offcenter,100,0.5,110,0.7636363636363637,0.3090909090909091,0.3090909090909091,0.4047619047619047,0.0,0.6197740451019984,0.23872064910733676,0.23872064910733676
offcenter,100,0.75,110,0.4636363636363636,0.18181818181818182,0.18181818181818182,0.39215686274509803,0.0,0.6197740451019984,0.23872064910733676,0.23872064910733676
center,10,0.5,48,0.3958333333333333,0.14583333333333334,0.14583333333333334,0.368421052631579,0.0,0.3839720222138246,0.15672681980101877,0.15672681980101877
center,10,0.75,48,0.2916666666666667,0.14583333333333334,0.14583333333333334,0.5,0.0,0.3839720222138246,0.15672681980101877,0.15672681980101877
center,50,0.5,48,0.6458333333333334,0.2708333333333333,0.2708333333333333,0.4193548387096774,0.0,0.5656789357214728,0.23879619716045872,0.24058170681677485
center,50,0.75,48,0.375,0.1875,0.1875,0.5,0.0,0.5656789357214728,0.23879619716045872,0.24058170681677485
center,100,0.5,48,0.7083333333333334,0.3125,0.3541666666666667,0.4411764705882353,0.041666666666666685,0.6066208826968432,0.26233817368790396,0.28667762999618585
center,100,0.75,48,0.3958333333333333,0.20833333333333334,0.20833333333333334,0.5263157894736843,0.0,0.6066208826968432,0.26233817368790396,0.28667762999618585
small,10,0.5,158,0.43037974683544306,0.13924050632911392,0.15822784810126583,0.32352941176470584,0.018987341772151917,0.376364476617931,0.1261783071982137,0.13978909325532513
small,10,0.75,158,0.2974683544303797,0.12025316455696203,0.13291139240506328,0.4042553191489362,0.01265822784810125,0.376364476617931,0.1261783071982137,0.13978909325532513
small,50,0.5,158,0.6962025316455697,0.26582278481012656,0.27848101265822783,0.3818181818181818,0.012658227848101278,0.5851186994140578,0.21972311515244553,0.2304679706285625
small,50,0.75,158,0.4240506329113924,0.17088607594936708,0.17721518987341772,0.40298507462686567,0.006329113924050639,0.5851186994140578,0.21972311515244553,0.2304679706285625
small,100,0.5,158,0.7468354430379747,0.310126582278481,0.3227848101265823,0.4152542372881356,0.012658227848101278,0.6157781476624575,0.24589559328371163,0.25328985849129093
small,100,0.75,158,0.4430379746835443,0.189873417721519,0.189873417721519,0.4285714285714286,0.0,0.6157781476624575,0.24589559328371163,0.25328985849129093
medium,10,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,10,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,50,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,50,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,100,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,100,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,10,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,10,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,50,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,50,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,100,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,100,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
