teacher,filter,train_annotations,class_ap,class_ap50,class_ap75,loc_ap,loc_ap50,loc_ap75,class_ap_small,class_ap_medium,class_ap_large,loc_ap_small,loc_ap_medium,loc_ap_large
nano5,s015_top20,3872,0.324996,0.409815,0.355234,0.578761,0.756475,0.639032,0.149281,0.341979,0.467730,0.172965,0.442370,0.752792
nano5,s020_top20,2842,0.317009,0.399112,0.345392,0.572480,0.748220,0.632149,0.137637,0.335044,0.458681,0.166735,0.435906,0.746874
nano5,s025_top20,2191,0.295402,0.368931,0.326843,0.562180,0.727183,0.623285,0.125963,0.291284,0.430383,0.162221,0.424761,0.734976
nano5,s025_top10,1927,0.287818,0.354976,0.318813,0.547003,0.698798,0.606981,0.110877,0.268662,0.413199,0.143606,0.400028,0.729283
nano5,s035_top10,1444,0.223494,0.275218,0.244357,0.518135,0.649121,0.574923,0.089589,0.228491,0.333875,0.124931,0.372788,0.695464
nano5,s040_top10,1278,0.190522,0.234937,0.206718,0.496372,0.617565,0.553511,0.076724,0.187287,0.292068,0.107995,0.351726,0.674368
nano5,s050_top10,1005,0.143846,0.175284,0.160687,0.449819,0.549002,0.498302,0.047113,0.155421,0.234625,0.076267,0.306106,0.625370
staged13,s025_top20,2065,0.177670,0.225535,0.193219,0.527877,0.680294,0.582243,0.126283,0.216598,0.260777,0.134296,0.391696,0.697646
small3,s025_top20,2045,0.141128,0.172773,0.155157,0.514708,0.657817,0.568726,0.064297,0.134585,0.237209,0.106193,0.349542,0.702618
small_resume5,s015_top20,3897,0.281475,0.350709,0.310221,0.589604,0.754294,0.650080,0.149539,0.331507,0.417609,0.165674,0.445673,0.769941
small_resume5,s020_top20,2878,0.269795,0.334032,0.298575,0.583378,0.746104,0.642721,0.120748,0.308460,0.400406,0.158258,0.438661,0.763421
small_resume5,s025_top20,2171,0.246153,0.302547,0.270348,0.568291,0.719823,0.628786,0.116429,0.265237,0.365144,0.151341,0.422957,0.747952
small_resume8,s015_top20,3779,0.342092,0.422094,0.380412,0.596424,0.764461,0.654534,0.213974,0.358943,0.497534,0.188492,0.448792,0.774760
small_resume8,s020_top20,2842,0.330155,0.403345,0.368185,0.589961,0.755991,0.651067,0.193961,0.351981,0.481886,0.184679,0.440677,0.769961
small_resume8,s025_top20,2191,0.314888,0.383239,0.349961,0.578932,0.740410,0.637725,0.163711,0.338610,0.459376,0.178829,0.426375,0.759143
small_resume8_seed43,s015_top20,3919,0.305553,0.380406,0.331694,0.600104,0.764919,0.656299,0.164601,0.285105,0.464637,0.160057,0.447678,0.787812
small_resume8_seed43,s020_top20,2963,0.294771,0.363787,0.320336,0.593612,0.752817,0.649156,0.157450,0.266819,0.452331,0.152942,0.439232,0.783332
small_resume8_seed43,s025_top20,2293,0.283312,0.347534,0.307833,0.583853,0.737417,0.640164,0.139119,0.248775,0.424206,0.145225,0.427216,0.776034
small_resume12_seed41,s015_top20,3323,0.521860,0.642960,0.564141,0.671686,0.850781,0.743865,0.321122,0.537007,0.688713,0.252915,0.550456,0.836961
small_resume12_seed41,s020_top20,2608,0.509289,0.625992,0.550142,0.667529,0.845692,0.739323,0.311145,0.521615,0.672258,0.247852,0.544961,0.833142
small_resume12_seed41,s025_top20,2110,0.501680,0.616960,0.543180,0.659726,0.827523,0.734078,0.300739,0.507429,0.668167,0.240639,0.534321,0.826164
