gt_category_id,gt_category_name,pred_category_id,pred_category_name,top_k,iou_threshold,gt_count,loc_matched_count,pair_count,pair_fraction_of_gt,pair_fraction_of_loc_matched,mean_iou,mean_score,is_correct_category
186,n07714571,191,n07739125,100,0.5,18,17,14,0.7777777777777778,0.8235294117647058,0.8943583137815246,0.20289080057825362,False
4,n01503061,9,n01770393,100,0.5,53,52,8,0.1509433962264151,0.15384615384615385,0.9294897208492003,0.00880774826509878,False
87,n03188531,193,n07747607,100,0.5,11,11,6,0.5454545454545454,0.5454545454545454,0.9164435751744143,0.09964495959381263,False
72,n02958343,9,n01770393,100,0.5,30,29,6,0.2,0.20689655172413793,0.9197188609342671,0.05109440286954244,False
4,n01503061,42,n02437136,100,0.5,53,52,6,0.11320754716981132,0.11538461538461539,0.9177290707455752,0.016608503181487322,False
58,n02799071,115,n03720891,100,0.5,9,8,5,0.5555555555555556,0.625,0.9041110514521437,0.28724525272846224,False
183,n07695742,115,n03720891,100,0.5,11,10,4,0.36363636363636365,0.4,0.7683315538839122,0.179938904941082,False
47,n02503517,46,n02484322,100,0.5,11,11,4,0.36363636363636365,0.36363636363636365,0.7608922729856151,0.4709789603948593,False
4,n01503061,191,n07739125,100,0.5,53,52,4,0.07547169811320754,0.07692307692307693,0.8720368135163599,0.016303054755553603,False
41,n02419796,42,n02437136,100,0.5,3,3,3,1.0,1.0,0.9324994692758866,0.07002215087413788,False
84,n03128519,139,n04026417,100,0.5,4,4,3,0.75,0.75,0.8167653578033042,0.17997651050488153,False
47,n02503517,114,n03710721,100,0.5,11,11,3,0.2727272727272727,0.2727272727272727,0.8623905331863447,0.3752850145101547,False
87,n03188531,132,n03958227,100,0.5,11,11,3,0.2727272727272727,0.2727272727272727,0.9126257045586725,0.07932558159033458,False
19,n02084071,37,n02395003,100,0.5,54,54,3,0.05555555555555555,0.05555555555555555,0.9528909724148421,0.020457857909301918,False
19,n02084071,42,n02437136,100,0.5,54,54,3,0.05555555555555555,0.05555555555555555,0.840252786653464,0.021366371152301628,False
19,n02084071,169,n04509417,100,0.5,54,54,3,0.05555555555555555,0.05555555555555555,0.9584691581821304,0.012109131862719854,False
37,n02395003,40,n02411705,100,0.5,3,3,2,0.6666666666666666,0.6666666666666666,0.9538806070287185,0.27867710310965776,False
96,n03372029,116,n03759954,100,0.5,3,3,2,0.6666666666666666,0.6666666666666666,0.7043054755372253,0.1307748630642891,False
164,n04392985,109,n03584254,100,0.5,3,3,2,0.6666666666666666,0.6666666666666666,0.9316499747177223,0.3560822755098343,False
179,n06874185,111,n03636649,100,0.5,4,3,2,0.5,0.6666666666666666,0.8879142745124882,0.5563777089118958,False
8,n01726692,169,n04509417,100,0.5,4,4,2,0.5,0.5,0.7975783137812338,0.016076248604804277,False
54,n02769748,157,n04330267,100,0.5,8,4,2,0.25,0.5,0.9336662596365095,0.23267308250069618,False
62,n02828884,163,n04379243,100,0.5,4,4,2,0.5,0.5,0.7365636067442252,0.08276340179145336,False
70,n02924116,72,n02958343,100,0.5,7,6,2,0.2857142857142857,0.3333333333333333,0.9570251777992624,0.7608701288700104,False
142,n04074963,76,n03001627,100,0.5,12,7,2,0.16666666666666666,0.2857142857142857,0.9584448785146329,0.1361340843141079,False
142,n04074963,109,n03584254,100,0.5,12,7,2,0.16666666666666666,0.2857142857142857,0.9699023361189982,0.29057275503873825,False
142,n04074963,118,n03764736,100,0.5,12,7,2,0.16666666666666666,0.2857142857142857,0.9283476312695498,0.19772639870643616,False
83,n03124170,163,n04379243,100,0.5,8,8,2,0.25,0.25,0.9278755284010505,0.20105420053005219,False
183,n07695742,114,n03710721,100,0.5,11,10,2,0.18181818181818182,0.2,0.880865523844159,0.18356343358755112,False
183,n07695742,193,n07747607,100,0.5,11,10,2,0.18181818181818182,0.2,0.8216695872776312,0.2669167071580887,False
1,n00007846,111,n03636649,100,0.5,122,110,2,0.01639344262295082,0.01818181818181818,0.7571417156737446,0.056958253495395184,False
2,n01443537,4,n01503061,100,0.5,1,1,1,1.0,1.0,0.9743882613943584,0.6380529403686523,False
14,n01944390,26,n02206856,100,0.5,1,1,1,1.0,1.0,0.8202993183329141,0.04624411463737488,False
21,n02121808,19,n02084071,100,0.5,1,1,1,1.0,1.0,0.8715629008904011,0.6663157939910889,False
26,n02206856,29,n02274259,100,0.5,2,1,1,0.5,1.0,0.8771551044228819,0.03738486394286156,False
30,n02317335,7,n01674464,100,0.5,1,1,1,1.0,1.0,0.951988321134231,0.1205626055598259,False
32,n02342885,21,n02121808,100,0.5,1,1,1,1.0,1.0,0.9680067333129979,0.5600336790084839,False
38,n02398521,6,n01662784,100,0.5,1,1,1,1.0,1.0,0.9204278446919448,0.5328747630119324,False
52,n02764044,103,n03481172,100,0.5,1,1,1,1.0,1.0,0.8898284764124957,0.20991551876068115,False
63,n02834778,169,n04509417,100,0.5,1,1,1,1.0,1.0,0.9160295551453146,0.024448199197649956,False
66,n02879718,101,n03467517,100,0.5,1,1,1,1.0,1.0,0.738955049914277,0.06449000537395477,False
78,n03062245,96,n03372029,100,0.5,1,1,1,1.0,1.0,0.9770675272130241,0.09410843253135681,False
89,n03207941,174,n04542943,100,0.5,1,1,1,1.0,1.0,0.8524055460382199,0.09639454632997513,False
92,n03255030,177,n04591157,100,0.5,1,1,1,1.0,1.0,0.8666303008278178,0.520558774471283,False
95,n03337140,62,n02828884,100,0.5,1,1,1,1.0,1.0,0.9775867448428638,0.05596984550356865,False
98,n03400231,26,n02206856,100,0.5,1,1,1,1.0,1.0,0.9179700508295745,0.10324747860431671,False
101,n03467517,157,n04330267,100,0.5,1,1,1,1.0,1.0,0.9632017697580851,0.09466580301523209,False
108,n03535780,111,n03636649,100,0.5,6,1,1,0.16666666666666666,1.0,0.9318776058403353,0.10442540049552917,False
129,n03928116,151,n04252225,100,0.5,1,1,1,1.0,1.0,0.9383011797056067,0.3345464766025543,False
131,n03950228,115,n03720891,100,0.5,1,1,1,1.0,1.0,0.7866415960918143,0.06364927440881729,False
139,n04026417,143,n04116512,100,0.5,1,1,1,1.0,1.0,0.9096251469412098,0.16808320581912994,False
141,n04070727,163,n04379243,100,0.5,1,1,1,1.0,1.0,0.751555487357341,0.009139151312410831,False
144,n04118538,143,n04116512,100,0.5,1,1,1,1.0,1.0,0.9745391137071484,0.35953089594841003,False
147,n04141076,168,n04487394,100,0.5,3,1,1,0.3333333333333333,1.0,0.8992668075165828,0.1444905400276184,False
154,n04256520,163,n04379243,100,0.5,1,1,1,1.0,1.0,0.975398909758613,0.1774686872959137,False
168,n04487394,66,n02879718,100,0.5,1,1,1,1.0,1.0,0.8009912367036934,0.19641682505607605,False
172,n04536866,159,n04336792,100,0.5,1,1,1,1.0,1.0,0.719386144398935,0.1311921328306198,False
6,n01662784,94,n03314780,100,0.5,2,2,1,0.5,0.5,0.7506053760894388,0.013458344154059887,False
6,n01662784,167,n04468005,100,0.5,2,2,1,0.5,0.5,0.9689479681548628,0.011222495697438717,False
10,n01776313,29,n02274259,100,0.5,3,2,1,0.3333333333333333,0.5,0.7176840691654888,0.03738486394286156,False
