slice,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
all,1,0.5,611,0.3044189852700491,0.23895253682487724,0.40916530278232405,0.7849462365591396,0.1702127659574468,0.3142503020517179,0.22748172893296986,0.38398096828129635
all,1,0.75,611,0.2733224222585925,0.220949263502455,0.3469721767594108,0.8083832335329341,0.12602291325695578,0.3142503020517179,0.22748172893296986,0.38398096828129635
all,5,0.5,611,0.6252045826513911,0.49263502454991814,0.6595744680851063,0.7879581151832461,0.1669394435351882,0.5871386171542751,0.45669189184393455,0.6042763828444618
all,5,0.75,611,0.5400981996726678,0.4402618657937807,0.5695581014729951,0.8151515151515151,0.12929623567921444,0.5871386171542751,0.45669189184393455,0.6042763828444618
all,10,0.5,611,0.723404255319149,0.5646481178396072,0.7054009819967266,0.7805429864253394,0.1407528641571194,0.6739458572557907,0.5165187418867784,0.644773340695588
all,10,0.75,611,0.618657937806874,0.486088379705401,0.6121112929623568,0.7857142857142857,0.1260229132569558,0.6739458572557907,0.5165187418867784,0.644773340695588
all,50,0.5,611,0.8428805237315876,0.6497545008183306,0.7332242225859247,0.7708737864077669,0.08346972176759404,0.7652470737195932,0.5909537379159308,0.6663089716777708
all,50,0.75,611,0.7119476268412439,0.5499181669394435,0.6333878887070377,0.7724137931034482,0.08346972176759415,0.7652470737195932,0.5909537379159308,0.6663089716777708
all,100,0.5,611,0.8723404255319149,0.6890343698854338,0.7332242225859247,0.7898686679174485,0.04418985270049092,0.7886329412126907,0.6256261680893562,0.6674899196937815
all,100,0.75,611,0.7430441898527005,0.5859247135842881,0.6366612111292962,0.788546255506608,0.050736497545008086,0.7886329412126907,0.6256261680893562,0.6674899196937815
offcenter,1,0.5,298,0.10738255033557047,0.08389261744966443,0.25838926174496646,0.78125,0.17449664429530204,0.1259722914129124,0.0826676946243493,0.23667541210118362
offcenter,1,0.75,298,0.09395973154362416,0.0738255033557047,0.19798657718120805,0.7857142857142857,0.12416107382550334,0.1259722914129124,0.0826676946243493,0.23667541210118362
offcenter,5,0.5,298,0.4865771812080537,0.37919463087248323,0.5503355704697986,0.7793103448275862,0.1711409395973154,0.4645951396356819,0.35575358597245826,0.5039648488788908
offcenter,5,0.75,298,0.4161073825503356,0.33557046979865773,0.4697986577181208,0.8064516129032259,0.13422818791946306,0.4645951396356819,0.35575358597245826,0.5039648488788908
offcenter,10,0.5,298,0.6208053691275168,0.46308724832214765,0.6140939597315436,0.7459459459459459,0.15100671140939592,0.5797314267171254,0.4244527875273079,0.556821473585274
offcenter,10,0.75,298,0.5201342281879194,0.38926174496644295,0.5167785234899329,0.7483870967741936,0.12751677852348997,0.5797314267171254,0.4244527875273079,0.556821473585274
offcenter,50,0.5,298,0.7651006711409396,0.5671140939597316,0.6543624161073825,0.7412280701754386,0.08724832214765099,0.6961837064291705,0.5105171691750643,0.5844626149335943
offcenter,50,0.75,298,0.6308724832214765,0.4597315436241611,0.5469798657718121,0.7287234042553192,0.08724832214765105,0.6961837064291705,0.5105171691750643,0.5844626149335943
offcenter,100,0.5,298,0.8120805369127517,0.6040268456375839,0.6543624161073825,0.743801652892562,0.05033557046979864,0.7298627520551763,0.5414040649967192,0.5858260868699229
offcenter,100,0.75,298,0.6677852348993288,0.4966442953020134,0.5503355704697986,0.7437185929648241,0.05369127516778521,0.7298627520551763,0.5414040649967192,0.5858260868699229
center,1,0.5,313,0.49201277955271566,0.3865814696485623,0.5527156549520766,0.7857142857142858,0.16613418530351431,0.49350540483243366,0.3653557935462892,0.5242271527594868
center,1,0.75,313,0.4440894568690096,0.3610223642172524,0.48881789137380194,0.8129496402877698,0.12779552715654952,0.49350540483243366,0.3653557935462892,0.5242271527594868
center,5,0.5,313,0.7571884984025559,0.6006389776357828,0.7635782747603834,0.7932489451476794,0.16293929712460065,0.7038094040569612,0.5527928987119854,0.6997806547989033
center,5,0.75,313,0.65814696485623,0.5399361022364217,0.6645367412140575,0.8203883495145632,0.12460063897763574,0.7038094040569612,0.5527928987119854,0.6997806547989033
center,10,0.5,313,0.8210862619808307,0.6613418530351438,0.792332268370607,0.8054474708171206,0.13099041533546318,0.7636452192382899,0.6041725898072964,0.7285102620977401
center,10,0.75,313,0.7124600638977636,0.5782747603833865,0.7028753993610224,0.811659192825112,0.12460063897763585,0.7636452192382899,0.6041725898072964,0.7285102620977401
center,50,0.5,313,0.9169329073482428,0.7284345047923323,0.8083067092651757,0.794425087108014,0.07987220447284338,0.8310006949737337,0.6675355190174587,0.7442329790572104
center,50,0.75,313,0.7891373801916933,0.6357827476038339,0.7156549520766773,0.805668016194332,0.07987220447284338,0.8310006949737337,0.6675355190174587,0.7442329790572104
center,100,0.5,313,0.9297124600638977,0.7699680511182109,0.8083067092651757,0.8281786941580757,0.0383386581469648,0.844586667631027,0.7058120681583843,0.7452401503056342
center,100,0.75,313,0.8146964856230032,0.670926517571885,0.7188498402555911,0.823529411764706,0.04792332268370603,0.844586667631027,0.7058120681583843,0.7452401503056342
small,1,0.5,232,0.05603448275862069,0.05603448275862069,0.21120689655172414,1.0,0.15517241379310345,0.06118167348427364,0.04996046350179008,0.1790958204876791
small,1,0.75,232,0.04741379310344827,0.04741379310344827,0.125,1.0,0.07758620689655173,0.06118167348427364,0.04996046350179008,0.1790958204876791
small,5,0.5,232,0.35344827586206895,0.2974137931034483,0.4827586206896552,0.8414634146341464,0.1853448275862069,0.3247141129452823,0.2606810326908648,0.4214505827537193
small,5,0.75,232,0.24568965517241378,0.21120689655172414,0.3448275862068966,0.8596491228070176,0.13362068965517243,0.3247141129452823,0.2606810326908648,0.4214505827537193
small,10,0.5,232,0.47844827586206895,0.39655172413793105,0.5689655172413793,0.8288288288288289,0.1724137931034483,0.444451781991702,0.347011631850021,0.49563836414640333
small,10,0.75,232,0.33189655172413796,0.27155172413793105,0.40948275862068967,0.8181818181818181,0.13793103448275862,0.444451781991702,0.347011631850021,0.49563836414640333
small,50,0.5,232,0.6724137931034483,0.5172413793103449,0.6293103448275862,0.7692307692307693,0.11206896551724133,0.5878293049299482,0.44618145633572187,0.5442842205497429
small,50,0.75,232,0.4396551724137931,0.34913793103448276,0.4525862068965517,0.7941176470588236,0.10344827586206895,0.5878293049299482,0.44618145633572187,0.5442842205497429
small,100,0.5,232,0.7112068965517241,0.5732758620689655,0.6293103448275862,0.8060606060606061,0.05603448275862066,0.624661995771503,0.49684102918239387,0.5442842205497429
small,100,0.75,232,0.47844827586206895,0.39655172413793105,0.4525862068965517,0.8288288288288289,0.05603448275862066,0.624661995771503,0.49684102918239387,0.5442842205497429
medium,1,0.5,235,0.2936170212765957,0.2425531914893617,0.39574468085106385,0.8260869565217391,0.15319148936170215,0.31880663788079133,0.23263602302383335,0.382331288697635
medium,1,0.75,235,0.26382978723404255,0.22127659574468084,0.35319148936170214,0.8387096774193548,0.1319148936170213,0.31880663788079133,0.23263602302383335,0.382331288697635
medium,5,0.5,235,0.7106382978723405,0.5148936170212766,0.6936170212765957,0.7245508982035928,0.17872340425531918,0.6685223077314445,0.48228533137045787,0.6391743620232971
medium,5,0.75,235,0.6340425531914894,0.4808510638297872,0.6297872340425532,0.7583892617449663,0.148936170212766,0.6685223077314445,0.48228533137045787,0.6391743620232971
medium,10,0.5,235,0.825531914893617,0.5872340425531914,0.7276595744680852,0.711340206185567,0.1404255319148937,0.7637717796145648,0.5380182018588351,0.6671754258067193
medium,10,0.75,235,0.7361702127659574,0.5276595744680851,0.6638297872340425,0.7167630057803468,0.13617021276595742,0.7637717796145648,0.5380182018588351,0.6671754258067193
medium,50,0.5,235,0.9319148936170213,0.6638297872340425,0.7404255319148936,0.7123287671232876,0.07659574468085106,0.8465167422107637,0.6086879725441806,0.6744601168495519
medium,50,0.75,235,0.8425531914893617,0.5957446808510638,0.6723404255319149,0.7070707070707071,0.07659574468085106,0.8465167422107637,0.6086879725441806,0.6744601168495519
medium,100,0.5,235,0.9659574468085106,0.6978723404255319,0.7404255319148936,0.722466960352423,0.04255319148936165,0.867542626587164,0.6377153489545099,0.677388625569907
medium,100,0.75,235,0.8765957446808511,0.6297872340425532,0.6808510638297872,0.7184466019417476,0.051063829787234005,0.867542626587164,0.6377153489545099,0.677388625569907
large,1,0.5,144,0.7222222222222222,0.5277777777777778,0.75,0.7307692307692308,0.2222222222222222,0.7145362944670984,0.505076690521031,0.7167658918249049
large,1,0.75,144,0.6527777777777778,0.5,0.6944444444444444,0.7659574468085106,0.19444444444444442,0.7145362944670984,0.505076690521031,0.7167658918249049
large,5,0.5,144,0.9236111111111112,0.7708333333333334,0.8888888888888888,0.8345864661654135,0.11805555555555547,0.8771199900074106,0.7307200934743457,0.8418774975251978
large,5,0.75,144,0.8611111111111112,0.7430555555555556,0.8333333333333334,0.8629032258064516,0.09027777777777779,0.8771199900074106,0.7307200934743457,0.8418774975251978
large,10,0.5,144,0.9513888888888888,0.7986111111111112,0.8888888888888888,0.8394160583941607,0.09027777777777768,0.8970953968874343,0.7545276060193781,0.8484874001281919
large,10,0.75,144,0.8888888888888888,0.7638888888888888,0.8541666666666666,0.859375,0.09027777777777779,0.8970953968874343,0.7545276060193781,0.8484874001281919
large,50,0.5,144,0.9722222222222222,0.8402777777777778,0.8888888888888888,0.8642857142857143,0.04861111111111105,0.9184592283291253,0.795256683672665,0.8496021879717565
large,50,0.75,144,0.9375,0.7986111111111112,0.8611111111111112,0.8518518518518519,0.0625,0.9184592283291253,0.795256683672665,0.8496021879717565
large,100,0.5,144,0.9791666666666666,0.8611111111111112,0.8888888888888888,0.8794326241134752,0.02777777777777768,0.9240321306526512,0.8133844647775794,0.8498338524752225
large,100,0.75,144,0.9513888888888888,0.8194444444444444,0.8611111111111112,0.8613138686131387,0.04166666666666674,0.9240321306526512,0.8133844647775794,0.8498338524752225
