image_id,file_name,gt_boxes,predictions,rank,query_index,class_id,score,best_gt_iou,best_gt_index,best_gt_category_id,nearest_gt_category_match,box_x1,box_y1,box_x2,box_y2,query_gt_attention_mass,diagnostic_bucket,query_top_pred_attention_mass,query_attention_entropy,query_attention_peak_x,query_attention_peak_y,out
11647,ILSVRC2012_val_00037645.JPEG,10,300,1,2,0,0.49497857689857483,0.7209956880827496,3,1,1,38.32965087890625,290.44970703125,54.1921501159668,329.595458984375,1.0,aligned_hit,0.8769710617491543,0.32827855055899346,0.1015625,0.8828125,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000011647_ILSVRC2012_val_00037645_rank01_q002_attn.jpg
11647,ILSVRC2012_val_00037645.JPEG,10,300,2,5,0,0.4481573700904846,0.06399065558538791,1,1,1,97.16236877441406,316.0557556152344,117.6545181274414,334.04229736328125,1.0,high_mass_low_iou,0.9118850028079867,0.2815771534027618,0.2265625,0.9921875,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000011647_ILSVRC2012_val_00037645_rank02_q005_attn.jpg
11647,ILSVRC2012_val_00037645.JPEG,10,300,3,7,0,0.4304724633693695,0.0057549757924892884,9,171,0,167.8778533935547,315.0522155761719,181.13421630859375,334.057861328125,1.0,high_mass_low_iou,0.8428597604976684,0.27640132822415947,0.3515625,0.9453125,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000011647_ILSVRC2012_val_00037645_rank03_q007_attn.jpg
4893,ILSVRC2012_val_00015839.JPEG,6,147,1,0,0,0.8400161862373352,0.955901449213306,0,1,1,215.7294158935547,31.597585678100586,354.23529052734375,240.9434814453125,0.8569292466508522,aligned_hit,0.9027941195092608,0.3924399021881071,0.6015625,0.1015625,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000004893_ILSVRC2012_val_00015839_rank01_q000_attn.jpg
4893,ILSVRC2012_val_00015839.JPEG,6,147,2,3,0,0.6746286153793335,0.8764480730973462,1,1,1,386.9335021972656,6.06747579574585,450.08282470703125,97.40272521972656,1.0,aligned_hit,0.8152889998637086,0.3955308406365852,0.8359375,0.0234375,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000004893_ILSVRC2012_val_00015839_rank02_q003_attn.jpg
4893,ILSVRC2012_val_00015839.JPEG,6,147,3,4,106,0.5037558674812317,0.9511207853772312,5,107,1,263.44873046875,31.549007415771484,322.0706481933594,90.0006332397461,0.9375000011943367,aligned_hit,0.9125179595242885,0.39643779323449924,0.5234375,0.1640625,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000004893_ILSVRC2012_val_00015839_rank03_q004_attn.jpg
3114,ILSVRC2012_val_00010255.JPEG,6,79,1,0,18,0.9664114713668823,0.9432629617436019,5,19,1,163.91726684570312,222.21261596679688,303.9425964355469,452.9401550292969,0.9673007116342518,aligned_hit,0.877434723104615,0.39584683092389916,0.4765625,0.6953125,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000003114_ILSVRC2012_val_00010255_rank01_q000_attn.jpg
3114,ILSVRC2012_val_00010255.JPEG,6,79,2,1,0,0.8830046653747559,0.9602708746909414,0,1,1,37.18276596069336,12.850776672363281,228.0328826904297,465.1209716796875,0.8450265233994375,aligned_hit,0.853597130705348,0.3912310316155879,0.3515625,0.0390625,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000003114_ILSVRC2012_val_00010255_rank02_q001_attn.jpg
3114,ILSVRC2012_val_00010255.JPEG,6,79,3,2,0,0.5491067171096802,0.6781942153653749,1,1,1,276.37872314453125,152.93148803710938,313.2487487792969,245.43408203125,0.88533945771533,aligned_hit,0.9033736961282014,0.385834089872443,0.8828125,0.3046875,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000003114_ILSVRC2012_val_00010255_rank03_q002_attn.jpg
2046,ILSVRC2012_val_00006779.JPEG,3,300,1,2,0,0.7580978274345398,0.06826596217269656,0,92,0,45.59038543701172,26.81494140625,406.0887145996094,374.9724426269531,0.18941161094113468,aligned_miss,1.0,0.4022785587873907,0.5703125,0.1015625,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000002046_ILSVRC2012_val_00006779_rank01_q002_attn.jpg
2046,ILSVRC2012_val_00006779.JPEG,3,300,2,0,75,0.2964492738246918,0.9460829310728509,0,92,0,323.7038879394531,236.0636444091797,443.79449462890625,348.87774658203125,0.9375000017676332,aligned_hit,0.9863414832064965,0.3914730634365531,0.6484375,0.6328125,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000002046_ILSVRC2012_val_00006779_rank02_q000_attn.jpg
2046,ILSVRC2012_val_00006779.JPEG,3,300,3,1,75,0.22036467492580414,0.9066935509584404,1,92,0,39.39921569824219,141.11285400390625,112.46094512939453,191.95811462402344,1.0,aligned_hit,0.8753530127507748,0.3808895545788083,0.1953125,0.3828125,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000002046_ILSVRC2012_val_00006779_rank03_q001_attn.jpg
16015,ILSVRC2013_val_00000790.JPEG,6,300,1,0,0,0.851822555065155,0.9246650395583864,0,1,1,16.566059112548828,187.5760955810547,215.824951171875,499.7835693359375,0.9425675823237115,aligned_hit,0.9425675823237115,0.3942758839366228,0.3359375,0.3984375,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000016015_ILSVRC2013_val_00000790_rank01_q000_attn.jpg
16015,ILSVRC2013_val_00000790.JPEG,6,300,2,4,0,0.45844224095344543,0.025082248220676853,0,1,1,0.18657435476779938,355.8459777832031,32.17039489746094,494.0478820800781,0.2943772109704641,aligned_miss,0.9407983484180655,0.37061032994385995,0.0390625,0.9921875,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000016015_ILSVRC2013_val_00000790_rank02_q004_attn.jpg
16015,ILSVRC2013_val_00000790.JPEG,6,300,3,7,0,0.38752079010009766,0.20470693779639582,1,1,1,316.5850830078125,186.6687774658203,357.00897216796875,422.6857604980469,0.4127268353289825,aligned_miss,0.937500001679987,0.38835947691094036,0.9921875,0.8359375,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000016015_ILSVRC2013_val_00000790_rank03_q007_attn.jpg
8445,ILSVRC2012_val_00027205.JPEG,20,300,1,11,64,0.24178996682167053,0.5513189624872235,0,126,0,78.7465591430664,5.3941569328308105,497.2087707519531,216.0618133544922,0.9953632018609897,aligned_hit,0.8517301940972488,0.3951148937655728,0.1328125,0.1484375,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000008445_ILSVRC2012_val_00027205_rank01_q011_attn.jpg
8445,ILSVRC2012_val_00027205.JPEG,20,300,2,100,64,0.23119863867759705,0.9887892306294195,0,126,0,69.17057800292969,0.045530498027801514,498.8182678222656,373.9167785644531,0.9225655846260309,aligned_hit,0.9225655846260309,0.3950620318432929,0.0703125,0.2734375,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000008445_ILSVRC2012_val_00027205_rank02_q100_attn.jpg
8445,ILSVRC2012_val_00027205.JPEG,20,300,3,91,64,0.19174237549304962,0.6018068632367403,0,126,0,90.63237762451172,47.19582748413086,497.73968505859375,283.5696716308594,0.9392041344222078,aligned_hit,0.8659832651795705,0.40378008245912916,0.1015625,0.3671875,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000008445_ILSVRC2012_val_00027205_rank03_q091_attn.jpg
7939,ILSVRC2012_val_00025625.JPEG,16,300,1,2,75,0.549462616443634,0.7640997687918616,6,76,1,134.59860229492188,137.95452880859375,193.38352966308594,197.88916015625,0.875000004050002,aligned_hit,0.8856655928968776,0.38568624900295206,0.3671875,0.4296875,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000007939_ILSVRC2012_val_00025625_rank01_q002_attn.jpg
7939,ILSVRC2012_val_00025625.JPEG,16,300,2,1,75,0.5143918991088867,0.05150067974520178,4,163,0,185.9096221923828,129.4815216064453,225.3817901611328,192.79351806640625,0.7005713610006871,high_mass_low_iou,0.8672132211966559,0.3758510961563002,0.3984375,0.4296875,results/rfdetr_stratified_seed41_2best_attention_offcenter_probe/query_overlays/000000007939_ILSVRC2012_val_00025625_rank02_q001_attn.jpg
