category_id,category_name,groups,candidate_hits,candidate_hit_rate,mean_nearest_iou,mean_hit_iou
126,n03908618,70,0,0.0,0.2165286611765623,0.0
113,n03676483,47,0,0.0,0.5601531397154991,0.0
74,n02992211,42,0,0.0,0.45965338006083456,0.0
183,n07695742,40,0,0.0,0.5456027507781982,0.0
98,n03400231,26,0,0.0,0.11795192197538339,0.0
106,n03495258,25,0,0.0,0.32041135158389805,0.0
77,n03017168,22,0,0.0,0.3404703281346222,0.0
66,n02879718,20,0,0.0,0.1894811885431409,0.0
75,n03000684,20,0,0.0,0.25750849712640045,0.0
167,n04468005,20,0,0.0,0.38048720941878855,0.0
150,n04252077,16,0,0.0,0.3309365553432144,0.0
117,n03761084,15,0,0.0,0.25369437707510467,0.0
168,n04487394,15,0,0.0,0.3407990574836731,0.0
114,n03710721,14,0,0.0,0.20763414991753443,0.0
132,n03958227,13,0,0.0,0.32199595137857473,0.0
42,n02437136,11,0,0.0,0.3397353087467226,0.0
127,n03908714,9,0,0.0,0.5452125089036094,0.0
172,n04536866,7,0,0.0,0.3435079040271895,0.0
99,n03445777,6,0,0.0,0.39049409578243893,0.0
87,n03188531,4,0,0.0,0.28888149559497833,0.0
181,n07615774,4,0,0.0,0.3354850187897682,0.0
68,n02883205,3,0,0.0,0.5685976346333822,0.0
80,n03085013,3,0,0.0,0.49781933054327965,0.0
112,n03642806,3,0,0.0,0.726791242758433,0.0
119,n03770439,3,0,0.0,0.0,0.0
141,n04070727,3,0,0.0,0.5145275195439657,0.0
186,n07714571,3,0,0.0,0.538104847073555,0.0
105,n03494278,2,0,0.0,0.6059096157550812,0.0
92,n03255030,75,1,0.013333333333333334,0.27542941908041635,0.06826596707105637
198,n07768694,81,2,0.024691358024691357,0.1977348871368133,0.9416602253913879
180,n07583066,38,1,0.02631578947368421,0.1860494460469406,0.2417728304862976
143,n04116512,24,1,0.041666666666666664,0.18192606527979174,0.18420526385307312
18,n02076196,23,1,0.043478260869565216,0.5739430286921561,0.983397364616394
89,n03207941,18,1,0.05555555555555555,0.42425189912319183,0.4769077003002167
144,n04118538,35,2,0.05714285714285714,0.16126755428101336,0.8956546783447266
157,n04330267,45,3,0.06666666666666667,0.20796230890684658,0.50242946545283
44,n02445715,25,2,0.08,0.5670714701153338,0.7646001875400543
54,n02769748,12,1,0.08333333333333333,0.47266779354928684,0.8446949124336243
97,n03394916,23,2,0.08695652173913043,0.2511611644826505,0.4759167954325676
70,n02924116,45,4,0.08888888888888889,0.1354818366157512,0.5016275553498417
49,n02510455,11,1,0.09090909090909091,0.5155334479429505,0.6028621792793274
101,n03467517,11,1,0.09090909090909091,0.4308265759186311,0.9078347086906433
128,n03916031,11,1,0.09090909090909091,0.5029009919274937,0.8359567523002625
3,n01495701,10,1,0.1,0.5876393392682076,0.9700174331665039
188,n07718747,46,5,0.10869565217391304,0.1759948440341522,0.7186715990304947
64,n02840245,17,2,0.11764705882352941,0.49880967201555476,0.7142090946435928
24,n02131653,24,3,0.125,0.3736884870255987,0.9421252409617106
162,n04376876,24,3,0.125,0.34199945484094013,0.8128742376963297
139,n04026417,43,6,0.13953488372093023,0.15205303111741708,0.4429055452346802
69,n02892767,7,1,0.14285714285714285,0.4285863935947418,0.3833194077014923
63,n02834778,19,3,0.15789473684210525,0.5368774688410524,0.7049834926923116
135,n03995372,6,1,0.16666666666666666,0.576072966059049,0.9362171292304993
46,n02484322,164,30,0.18292682926829268,0.43426817697160536,0.5565086920357619
160,n04356056,38,7,0.18421052631578946,0.07187534895676531,0.249239804489272
38,n02398521,30,6,0.2,0.40292626842856405,0.5790724841256937
67,n02880940,30,6,0.2,0.38069810109833874,0.7082526485125223
61,n02815834,25,5,0.2,0.3404057532548904,0.30694794207811354
164,n04392985,10,2,0.2,0.08579462412744761,0.0
122,n03797390,5,1,0.2,0.2294164603576064,0.9137299656867981
194,n07749582,62,16,0.25806451612903225,0.44580099712156,0.7576928313355893
6,n01662784,54,15,0.2777777777777778,0.30680728551966174,0.5304643005132675
111,n03636649,32,9,0.28125,0.3317214974667877,0.48771774851613575
4,n01503061,1233,349,0.28304947283049475,0.2882490471519277,0.5451044562008541
35,n02374451,58,17,0.29310344827586204,0.41415359423463716,0.5316504647626596
58,n02799071,20,6,0.3,0.6963156282901763,0.9583070973555247
115,n03720891,10,3,0.3,0.563915380090475,0.5855480829874674
79,n03063338,36,11,0.3055555555555556,0.14011322346050292,0.12256047917021946
148,n04154565,16,5,0.3125,0.2153278710320592,0.15958969593048095
72,n02958343,113,37,0.3274336283185841,0.2542345572460805,0.42686989475545045
51,n02691156,27,9,0.3333333333333333,0.3140306601438809,0.6241414149602255
17,n02062744,18,6,0.3333333333333333,0.47495793727123076,0.5924183639387289
43,n02444819,9,3,0.3333333333333333,0.5950583981143104,0.7671368718147278
20,n02118333,6,2,0.3333333333333333,0.48961494863033295,0.9612293541431427
120,n03790512,6,2,0.3333333333333333,0.6333606218298277,0.8685128390789032
165,n04409515,3,1,0.3333333333333333,0.7248552342255911,0.9093610048294067
154,n04256520,44,15,0.3409090909090909,0.35143454950726166,0.7528023481369018
88,n03196217,14,5,0.35714285714285715,0.5610883251896926,0.6790102601051331
48,n02509815,11,4,0.36363636363636365,0.5839616696942936,0.726381354033947
