rank,image_id,file_name,gt_category_id,gt_category_name,pred_category_id,pred_category_name,iou,score,overlay_path,top_k,iou_threshold,max_per_pair,max_per_image
1,14025,ILSVRC2012_val_00045165.JPEG,183,n07695742,8,n01726692,0.9747641601475456,0.33377665281295776,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/01_img14025_gt183_pred8.jpg,100,0.5,3,2
2,14025,ILSVRC2012_val_00045165.JPEG,183,n07695742,8,n01726692,0.9718363794780172,0.26379236578941345,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/02_img14025_gt183_pred8.jpg,100,0.5,3,2
3,11995,ILSVRC2012_val_00038744.JPEG,183,n07695742,8,n01726692,0.9578798054886752,0.4810781478881836,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/03_img11995_gt183_pred8.jpg,100,0.5,3,2
4,15292,ILSVRC2012_val_00049370.JPEG,191,n07739125,194,n07749582,0.9686822622451787,0.3496515452861786,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/04_img15292_gt191_pred194.jpg,100,0.5,3,2
5,15292,ILSVRC2012_val_00049370.JPEG,191,n07739125,194,n07749582,0.9574865977707697,0.27406513690948486,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/05_img15292_gt191_pred194.jpg,100,0.5,3,2
6,6396,ILSVRC2012_val_00020755.JPEG,58,n02799071,56,n02786058,0.977661582726437,0.3198230266571045,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/06_img6396_gt58_pred56.jpg,100,0.5,3,2
7,6396,ILSVRC2012_val_00020755.JPEG,58,n02799071,56,n02786058,0.9772365381816419,0.2669723927974701,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/07_img6396_gt58_pred56.jpg,100,0.5,3,2
8,14810,ILSVRC2012_val_00047788.JPEG,46,n02484322,24,n02131653,0.991227337490877,0.06199327111244202,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/08_img14810_gt46_pred24.jpg,100,0.5,3,2
9,12725,ILSVRC2012_val_00041120.JPEG,46,n02484322,24,n02131653,0.9412633894849769,0.35793641209602356,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/09_img12725_gt46_pred24.jpg,100,0.5,3,2
10,7939,ILSVRC2012_val_00025625.JPEG,163,n04379243,76,n03001627,0.9036991646009764,0.10366731137037277,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/10_img7939_gt163_pred76.jpg,100,0.5,3,2
11,1692,ILSVRC2012_val_00005653.JPEG,46,n02484322,24,n02131653,0.8960360927703497,0.26928895711898804,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/11_img1692_gt46_pred24.jpg,100,0.5,3,2
12,45,ILSVRC2012_val_00000151.JPEG,163,n04379243,76,n03001627,0.7446663253038718,0.1376103162765503,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/12_img45_gt163_pred76.jpg,100,0.5,3,2
13,7939,ILSVRC2012_val_00025625.JPEG,163,n04379243,76,n03001627,0.7281033022278343,0.17290404438972473,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/13_img7939_gt163_pred76.jpg,100,0.5,3,2
14,18462,ILSVRC2013_val_00004280.JPEG,167,n04468005,171,n04530566,0.99167423022892,0.3334767520427704,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/14_img18462_gt167_pred171.jpg,100,0.5,3,2
15,12672,ILSVRC2012_val_00040982.JPEG,113,n03676483,200,n07880968,0.9808559482257176,0.16576015949249268,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/15_img12672_gt113_pred200.jpg,100,0.5,3,2
16,12672,ILSVRC2012_val_00040982.JPEG,113,n03676483,200,n07880968,0.9515779221145775,0.14887915551662445,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/16_img12672_gt113_pred200.jpg,100,0.5,3,2
17,428,ILSVRC2012_val_00001464.JPEG,125,n03838899,8,n01726692,0.932613828490295,0.14065319299697876,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/17_img428_gt125_pred8.jpg,100,0.5,3,2
18,428,ILSVRC2012_val_00001464.JPEG,125,n03838899,8,n01726692,0.9274675229333322,0.13910916447639465,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/18_img428_gt125_pred8.jpg,100,0.5,3,2
19,18462,ILSVRC2013_val_00004280.JPEG,167,n04468005,171,n04530566,0.9194664664674826,0.15375493466854095,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/19_img18462_gt167_pred171.jpg,100,0.5,3,2
20,3741,ILSVRC2012_val_00012202.JPEG,92,n03255030,107,n03513137,0.9166301213540241,0.14688551425933838,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/20_img3741_gt92_pred107.jpg,100,0.5,3,2
21,12037,ILSVRC2012_val_00038873.JPEG,46,n02484322,19,n02084071,0.9145711529700528,0.05861660838127136,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/21_img12037_gt46_pred19.jpg,100,0.5,3,2
22,12037,ILSVRC2012_val_00038873.JPEG,46,n02484322,19,n02084071,0.83229004932146,0.04226028546690941,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/22_img12037_gt46_pred19.jpg,100,0.5,3,2
23,3741,ILSVRC2012_val_00012202.JPEG,92,n03255030,107,n03513137,0.7774972855661474,0.13936568796634674,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/23_img3741_gt92_pred107.jpg,100,0.5,3,2
24,12723,ILSVRC2012_val_00041114.JPEG,4,n01503061,20,n02118333,0.9861916642106195,0.21290796995162964,results/rfdetr_stratified_seed41_2best_category_confusion_overlays/24_img12723_gt4_pred20.jpg,100,0.5,3,2
