category_id,category_name,groups,candidate_hits,candidate_hit_rate,mean_nearest_iou,mean_hit_iou,train_gt_count,valid_gt_count,test_gt_count
126,n03908618,68,0,0.0,0.17785093352636872,0.0,8,5,1
113,n03676483,54,0,0.0,0.49256310184244756,0.0,20,0,11
74,n02992211,43,0,0.0,0.43507156070581704,0.0,6,1,3
183,n07695742,42,0,0.0,0.5866409788529078,0.0,20,0,9
75,n03000684,34,0,0.0,0.2522820002015899,0.0,18,0,4
98,n03400231,30,0,0.0,0.1393841986854871,0.0,16,3,3
167,n04468005,24,0,0.0,0.3997752209737276,0.0,8,1,3
150,n04252077,21,0,0.0,0.4120750840132435,0.0,6,0,1
66,n02879718,19,0,0.0,0.18266880610271505,0.0,7,0,1
114,n03710721,19,0,0.0,0.20285205856749886,0.0,6,0,2
117,n03761084,19,0,0.0,0.2801764321124402,0.0,5,0,3
64,n02840245,18,0,0.0,0.49813714861455893,0.0,12,2,4
168,n04487394,17,0,0.0,0.377366799642058,0.0,7,4,2
77,n03017168,15,0,0.0,0.4937070180972417,0.0,18,2,1
127,n03908714,14,0,0.0,0.5124965161085129,0.0,26,1,1
42,n02437136,12,0,0.0,0.3970052034904559,0.0,12,2,1
99,n03445777,12,0,0.0,0.3805244266986847,0.0,20,0,1
115,n03720891,12,0,0.0,0.48580725863575935,0.0,11,1,2
172,n04536866,10,0,0.0,0.3635455772280693,0.0,13,0,1
135,n03995372,8,0,0.0,0.6217978689819574,0.0,5,0,1
69,n02892767,7,0,0.0,0.36275208315679003,0.0,23,0,3
186,n07714571,6,0,0.0,0.4732353687286377,0.0,36,0,1
87,n03188531,5,0,0.0,0.31208805441856385,0.0,15,0,1
181,n07615774,5,0,0.0,0.24377042949199676,0.0,11,0,1
68,n02883205,4,0,0.0,0.47877533733844757,0.0,19,1,1
105,n03494278,4,0,0.0,0.6018728390336037,0.0,13,0,1
112,n03642806,4,0,0.0,0.7714974731206894,0.0,7,3,1
141,n04070727,4,0,0.0,0.6154407635331154,0.0,6,0,1
80,n03085013,3,0,0.0,0.4078074594338735,0.0,19,3,1
119,n03770439,3,0,0.0,0.0,0.0,13,2,1
124,n03814639,1,0,0.0,0.20119936764240265,0.0,10,2,1
92,n03255030,95,1,0.010526315789473684,0.25626081557650315,0.06935237348079681,21,0,14
180,n07583066,52,1,0.019230769230769232,0.18929146758119503,0.2420307993888855,7,2,2
144,n04118538,45,1,0.022222222222222223,0.16221605446707044,0.8669811487197876,5,1,2
198,n07768694,75,2,0.02666666666666667,0.2588003370103737,0.9448898732662201,26,1,4
143,n04116512,25,1,0.04,0.15824322313070296,0.18339549005031586,43,11,20
97,n03394916,36,2,0.05555555555555555,0.2744891745193551,0.4739426374435425,12,0,2
18,n02076196,33,2,0.06060606060606061,0.4840848049515802,0.8482888042926788,17,0,2
162,n04376876,33,2,0.06060606060606061,0.33501888696231286,0.8699573576450348,12,0,2
70,n02924116,55,4,0.07272727272727272,0.1804951765235852,0.7359826266765594,17,0,2
188,n07718747,80,6,0.075,0.10122937827836723,0.6036329368750254,21,0,4
132,n03958227,11,1,0.09090909090909091,0.26200924949212506,0.8992024064064026,29,2,4
44,n02445715,30,3,0.1,0.5210861591156573,0.8043007651964823,6,0,2
54,n02769748,10,1,0.1,0.39989549410529435,0.8434554934501648,19,9,2
101,n03467517,17,2,0.11764705882352941,0.5330331349635825,0.47463865391910076,18,0,1
157,n04330267,59,7,0.11864406779661017,0.23178164766690992,0.31741954599108013,11,0,3
3,n01495701,8,1,0.125,0.565449133515358,0.9382701516151428,14,1,2
128,n03916031,14,2,0.14285714285714285,0.6531163634998458,0.8954412639141083,7,1,2
122,n03797390,7,1,0.14285714285714285,0.2514397737437061,0.8900963664054871,32,4,1
46,n02484322,205,31,0.15121951219512195,0.40827684765951366,0.5893923233473494,29,6,11
89,n03207941,26,4,0.15384615384615385,0.42341026173044854,0.4416849911212921,8,1,1
49,n02510455,13,2,0.15384615384615385,0.48684542239285433,0.7710842490196228,6,0,1
67,n02880940,38,6,0.15789473684210525,0.408208939982088,0.6993833718200525,56,8,3
63,n02834778,25,4,0.16,0.4664048497378826,0.6794585958123207,15,2,5
6,n01662784,61,10,0.16393442622950818,0.3010109531097725,0.602608074247837,23,2,5
79,n03063338,44,8,0.18181818181818182,0.1273304477058859,0.21145890140905976,5,0,2
106,n03495258,32,6,0.1875,0.33364291096222587,0.5586400479078293,11,0,2
139,n04026417,51,10,0.19607843137254902,0.19346183845225504,0.36158603727817534,22,8,2
61,n02815834,30,6,0.2,0.29866550775865713,0.26259870454669,21,0,1
160,n04356056,47,10,0.2127659574468085,0.07157240596976369,0.2525094524025917,36,1,6
120,n03790512,14,3,0.21428571428571427,0.5498857232076781,0.8220434784889221,19,6,4
164,n04392985,9,2,0.2222222222222222,0.08420736094315846,0.044084809720516205,12,2,2
51,n02691156,35,9,0.2571428571428571,0.31380444868866886,0.5864590538872613,15,0,4
38,n02398521,30,8,0.26666666666666666,0.44841855950653553,0.6576718762516975,6,0,2
84,n03128519,11,3,0.2727272727272727,0.3736068071289496,0.5771135948598385,36,3,1
