category_id,category_name,max_groups,high_support_runs,zero_hit_runs,transition,hit_rate_delta_latest_vs_base,nearest_iou_delta_latest_vs_base,base_groups,base_hits,base_hit_rate,base_mean_nearest_iou,base_zero_hit,full_lr_2ep_groups,full_lr_2ep_hits,full_lr_2ep_hit_rate,full_lr_2ep_mean_nearest_iou,full_lr_2ep_zero_hit,extra_low_lr_groups,extra_low_lr_hits,extra_low_lr_hit_rate,extra_low_lr_mean_nearest_iou,extra_low_lr_zero_hit
126,n03908618,90,3,3,persistent_zero_hit,0,-0.0886606417596,70,0,0,0.216528661177,1,90,0,0,0.183362813149,1,70,0,0,0.127868019417,1
113,n03676483,47,3,3,persistent_zero_hit,0,0.0800155614314,47,0,0,0.560153139715,1,38,0,0,0.641300473558,1,43,0,0,0.640168701147,1
183,n07695742,40,3,3,persistent_zero_hit,0,0.0664779747526,40,0,0,0.545602750778,1,27,0,0,0.623359727087,1,36,0,0,0.612080725531,1
75,n03000684,38,3,3,persistent_zero_hit,0,0.0900082829065,20,0,0,0.257508497126,1,26,0,0,0.306325074214,1,38,0,0,0.347516780033,1
98,n03400231,37,3,3,persistent_zero_hit,0,0.0110240954627,26,0,0,0.117951921975,1,37,0,0,0.146781165858,1,37,0,0,0.128976017438,1
167,n04468005,34,3,3,persistent_zero_hit,0,0.0311208499787,20,0,0,0.380487209419,1,30,0,0,0.313639432378,1,34,0,0,0.411608059398,1
66,n02879718,23,2,2,persistent_zero_hit,0,0.120438647416,20,0,0,0.189481188543,1,17,0,0,0.274441209731,0,23,0,0,0.309919835959,1
92,n03255030,80,3,1,regressed_to_zero_hit,-0.0133333333333,0.030112599091,75,1,0.0133333333333,0.27542941908,0,73,1,0.013698630137,0.248488402957,0,80,0,0,0.305542018171,1
144,n04118538,53,3,1,regressed_to_zero_hit,-0.0571428571429,-0.0158222866203,35,2,0.0571428571429,0.161267554281,0,53,2,0.0377358490566,0.183292625437,0,51,0,0,0.145445267661,1
180,n07583066,46,3,1,regressed_to_zero_hit,-0.0263157894737,-0.00427223767156,38,1,0.0263157894737,0.186049446047,0,32,1,0.03125,0.192385053146,0,46,0,0,0.181777208375,1
18,n02076196,23,3,1,regressed_to_zero_hit,-0.0434782608696,-0.103524737153,23,1,0.0434782608696,0.573943028692,0,20,2,0.1,0.549285098515,0,20,0,0,0.470418291539,1
74,n02992211,52,3,1,rescued_from_zero_hit,0.0384615384615,-0.094047800515,42,0,0,0.459653380061,1,49,1,0.0204081632653,0.410584711574,0,52,2,0.0384615384615,0.365605579546,0
106,n03495258,25,3,1,rescued_from_zero_hit,0.458333333333,0.112559534069,25,0,0,0.320411351584,1,24,5,0.208333333333,0.367286951669,0,24,11,0.458333333333,0.432970885653,0
1,n00007846,2057,3,0,persistent_candidate_hit,-0.0274295967002,0.0062462847425,1649,806,0.488781079442,0.301420807991,0,1957,986,0.503832396525,0.314127306563,0,2057,949,0.461351482742,0.307667092733,0
4,n01503061,1233,3,0,persistent_candidate_hit,0.0251566340397,-0.00964023020271,1233,349,0.28304947283,0.288249047152,0,1018,367,0.360510805501,0.332527515288,0,1048,323,0.30820610687,0.278608816949,0
19,n02084071,944,3,0,persistent_candidate_hit,0.0851237586799,0.0308409652202,908,445,0.490088105727,0.321391036454,0,937,393,0.419423692636,0.330595125571,0,944,543,0.575211864407,0.352232001674,0
171,n04530566,291,3,0,persistent_candidate_hit,0.03134079613,0.0338774386029,233,112,0.480686695279,0.187425250894,0,283,127,0.448763250883,0.211927411453,0,291,149,0.512027491409,0.221302689497,0
