label,gt_category_id,gt_category_name,top_candidate,samples,gt_candidate_present,mean_nearest_iou,iou_ge_min,mean_top_candidate_score,example_image_ids
base,113,n03676483,n00007846,10,0,0.888443867196,10,0.237,3153;12672;12672;12672;12672
base,183,n07695742,n00007846,6,0,0.96911974448,6,0.251666666667,11995;14025;14025;14025;14025
base,92,n03255030,n01726692,5,0,0.767766766994,4,0.134,3741;3741;3741;3741;3741
base,92,n03255030,n02084071,4,0,0.760016111595,3,0.1225,3741;3741;3741;3741
base,75,n03000684,n03991062,3,0,0.433763042007,1,0.116666666667,2770;2770;2770
base,183,n07695742,n01726692,2,0,0.955150777755,2,0.22,11995;14025
base,18,n02076196,n00007846,2,1,0.953515680319,2,0.245,7122;7122
base,92,n03255030,n03001627,2,0,0.930983344015,2,0.225,2046;2046
base,167,n04468005,n04530566,2,1,0.880433585784,2,0.175,18462;18462
base,92,n03255030,n03513137,2,0,0.852207110752,2,0.095,3741;3741
base,180,n07583066,n00007846,2,0,0.844459101353,2,0.08,15535;6868
base,167,n04468005,n00007846,1,1,0.993925146697,1,0.31,18462
base,126,n03908618,n04379243,1,0,0.984309780946,1,0.12,8445
base,113,n03676483,n03513137,1,0,0.906677848062,1,0.1,12672
base,144,n04118538,n02419796,1,0,0.856575161334,1,0.17,5788
base,144,n04118538,n03001627,1,1,0.844092190598,1,0.15,6017
base,66,n02879718,n00007846,1,0,0.843691823226,1,0.15,6484
base,98,n03400231,n04379243,1,0,0.812204525282,1,0.07,17338
base,75,n03000684,n00007846,1,0,0.652851543644,1,0.05,1819
base,98,n03400231,n04530566,1,0,0.584556810155,1,0.21,14530
base,183,n07695742,n01674464,1,0,0.492594608932,0,0.09,11995
base,92,n03255030,n00007846,1,0,0.262721939497,0,0.14,2046
base,98,n03400231,n00007846,1,0,0.243766048062,0,0.06,18560
extra_low_lr,92,n03255030,n01495701,8,0,0.759949193369,7,0.215,3741;3741;3741;3741;3741
extra_low_lr,183,n07695742,n01726692,5,0,0.961634854958,5,0.316,14025;14025;11995;14025;14025
extra_low_lr,113,n03676483,n03916031,3,0,0.946182497187,3,0.0966666666667,12672;12672;12672
extra_low_lr,92,n03255030,n07749582,3,0,0.758804371336,2,0.316666666667,3741;3741;3741
extra_low_lr,167,n04468005,n04530566,2,0,0.937271759247,2,0.075,18462;18462
extra_low_lr,113,n03676483,n07880968,2,0,0.911503811379,2,0.155,12672;12672
extra_low_lr,113,n03676483,n03797390,2,0,0.887968264261,2,0.18,12672;12672
extra_low_lr,113,n03676483,n02076196,2,0,0.862106807032,2,0.1,12672;12672
extra_low_lr,98,n03400231,n04330267,2,0,0.581643309739,2,0.31,14530;18560
extra_low_lr,75,n03000684,n04336792,2,0,0.398874794883,1,0.08,2770;2770
extra_low_lr,183,n07695742,n01674464,1,0,0.984164159624,1,0.06,14025
extra_low_lr,126,n03908618,n02870880,1,0,0.981857164391,1,0.12,8445
extra_low_lr,183,n07695742,n01662784,1,0,0.973747684611,1,0.24,11995
extra_low_lr,75,n03000684,n04379243,1,0,0.966329225219,1,0.12,2770
extra_low_lr,167,n04468005,n02828884,1,0,0.954856849507,1,0.11,18462
extra_low_lr,180,n07583066,n03535780,1,0,0.937736925905,1,0.06,15535
extra_low_lr,183,n07695742,n01944390,1,0,0.936465554591,1,0.37,14025
extra_low_lr,113,n03676483,n02484322,1,0,0.931923184079,1,0.24,3153
extra_low_lr,92,n03255030,n04154565,1,0,0.924037283983,1,0.21,2046
extra_low_lr,18,n02076196,n00007846,1,0,0.922093415293,1,0.12,7122
extra_low_lr,113,n03676483,n02880940,1,0,0.894622288675,1,0.19,12672
extra_low_lr,144,n04118538,n04116512,1,0,0.872362991881,1,0.34,6017
extra_low_lr,66,n02879718,n03467517,1,0,0.865933091187,1,0.05,6484
extra_low_lr,18,n02076196,n01443537,1,0,0.829288069267,1,0.09,7122
extra_low_lr,144,n04118538,n02802426,1,0,0.818750189135,1,0.27,5788
extra_low_lr,180,n07583066,n02880940,1,0,0.786289689199,1,0.36,6868
extra_low_lr,92,n03255030,n02807133,1,0,0.77106589807,1,0.19,2046
extra_low_lr,183,n07695742,n01495701,1,0,0.742375013765,1,0.07,11995
extra_low_lr,75,n03000684,n00007846,1,0,0.717376619797,1,0.07,1819
extra_low_lr,98,n03400231,n04379243,1,0,0.467294610581,0,0.08,17338
extra_low_lr,92,n03255030,n03000684,1,0,0.283562346199,0,0.07,2046
full_lr_2ep,113,n03676483,n02880940,8,0,0.890233694261,8,0.19125,12672;12672;12672;12672;12672
full_lr_2ep,92,n03255030,n02206856,6,0,0.682633680478,5,0.168333333333,3741;3741;3741;3741;3741
full_lr_2ep,183,n07695742,n01726692,5,0,0.956503744788,5,0.496,14025;14025;14025;14025;14025
full_lr_2ep,167,n04468005,n04530566,2,0,0.960220760702,2,0.285,18462;18462
full_lr_2ep,18,n02076196,n00007846,2,1,0.937502121028,2,0.335,7122;7122
full_lr_2ep,183,n07695742,n02206856,2,0,0.854377489958,2,0.115,14025;11995
full_lr_2ep,92,n03255030,n03513137,2,0,0.830638092487,2,0.105,3741;3741
full_lr_2ep,126,n03908618,n02870880,1,0,0.989935853647,1,0.17,8445
full_lr_2ep,183,n07695742,n03249569,1,0,0.976541781469,1,0.29,11995
full_lr_2ep,183,n07695742,n00007846,1,0,0.966657941185,1,0.18,11995
full_lr_2ep,113,n03676483,n03916031,1,0,0.966583827102,1,0.08,12672
full_lr_2ep,144,n04118538,n02802426,1,1,0.95204443347,1,0.23,5788
full_lr_2ep,113,n03676483,n03249569,1,0,0.945025923271,1,0.07,12672
full_lr_2ep,92,n03255030,n03001627,1,0,0.937667070431,1,0.17,2046
full_lr_2ep,167,n04468005,n04070727,1,0,0.935193751377,1,0.19,18462
full_lr_2ep,180,n07583066,n02870880,1,0,0.929920393768,1,0.06,15535
full_lr_2ep,75,n03000684,n04379243,1,0,0.904732650369,1,0.1,2770
full_lr_2ep,92,n03255030,n01495701,1,0,0.896573598569,1,0.16,3741
full_lr_2ep,113,n03676483,n04254120,1,0,0.856838562524,1,0.04,3153
full_lr_2ep,92,n03255030,n03759954,1,0,0.837890187924,1,0.15,2046
full_lr_2ep,144,n04118538,n04116512,1,1,0.835281392974,1,0.32,6017
full_lr_2ep,180,n07583066,n02880940,1,0,0.798525462065,1,0.18,6868
full_lr_2ep,66,n02879718,n02766320,1,0,0.768453092993,1,0.05,6484
full_lr_2ep,75,n03000684,n00007846,1,0,0.692985133906,1,0.05,1819
full_lr_2ep,98,n03400231,n04330267,1,0,0.681996055176,1,0.21,18560
full_lr_2ep,92,n03255030,n07745940,1,0,0.615556989274,1,0.11,3741
full_lr_2ep,98,n03400231,n03207941,1,0,0.554861549908,1,0.09,14530
full_lr_2ep,75,n03000684,n04530566,1,0,0.554098275704,1,0.05,2770
full_lr_2ep,98,n03400231,n04379243,1,0,0.48688387816,0,0.1,17338
full_lr_2ep,92,n03255030,n01726692,1,0,0.32123960043,0,0.2,3741
full_lr_2ep,92,n03255030,n03249569,1,0,0.298231690318,0,0.12,2046
full_lr_2ep,75,n03000684,n04336792,1,0,0.232831699361,0,0.05,2770
