category_id,category_name,transition,max_groups,train_gt_count,valid_gt_count,test_gt_count,base_groups,base_hits,base_hit_rate,base_mean_nearest_iou,latest_groups,latest_hits,latest_hit_rate,latest_mean_nearest_iou,hit_rate_delta_latest_vs_base,nearest_iou_delta_latest_vs_base,top_wrong_pred_category_id,top_wrong_pred_category_name,top_wrong_pair_count,top_wrong_loc_matched_count,top_wrong_pair_fraction_of_loc_matched,top_wrong_mean_iou,top_wrong_mean_score
126,n03908618,persistent_zero_hit,90,8,5,1,70,0,0,0.216528661177,70,0,0,0.127868019417,0,-0.0886606417596,65,n02870880,1,1,1.0,0.9887892306294195,0.23119863867759705
113,n03676483,persistent_zero_hit,47,20,0,11,47,0,0,0.560153139715,43,0,0,0.640168701147,0,0.0800155614314,200,n07880968,3,10,0.3,0.9549831723888337,0.14378094424804053
183,n07695742,persistent_zero_hit,40,20,0,9,40,0,0,0.545602750778,36,0,0,0.612080725531,0,0.0664779747526,8,n01726692,7,9,0.7777777777777778,0.9546441322826829,0.3236750162073544
75,n03000684,persistent_zero_hit,38,18,0,4,20,0,0,0.257508497126,38,0,0,0.347516780033,0,0.0900082829065,163,n04379243,1,1,1.0,0.8381775523658616,0.1567966192960739
98,n03400231,persistent_zero_hit,37,16,3,3,26,0,0,0.117951921975,37,0,0,0.128976017438,0,0.0110240954627,65,n02870880,1,2,0.5,0.8053633436988411,0.11798916757106781
167,n04468005,persistent_zero_hit,34,8,1,3,20,0,0,0.380487209419,34,0,0,0.411608059398,0,0.0311208499787,171,n04530566,3,3,1.0,0.915298023621043,0.25316395858923596
66,n02879718,persistent_zero_hit,23,7,0,1,20,0,0,0.189481188543,23,0,0,0.309919835959,0,0.120438647416,1,n00007846,1,1,1.0,0.5367580945192012,0.11584775149822235
92,n03255030,regressed_to_zero_hit,80,21,0,14,75,1,0.0133333333333,0.27542941908,80,0,0,0.305542018171,-0.0133333333333,0.030112599091,107,n03513137,3,8,0.375,0.7457152613043935,0.1538255214691162
144,n04118538,regressed_to_zero_hit,53,5,1,2,35,2,0.0571428571429,0.161267554281,51,0,0,0.145445267661,-0.0571428571429,-0.0158222866203,60,n02807133,1,2,0.5,0.9248117017063423,0.1883043497800827
180,n07583066,regressed_to_zero_hit,46,7,2,2,38,1,0.0263157894737,0.186049446047,46,0,0,0.181777208375,-0.0263157894737,-0.00427223767156,72,n02958343,1,2,0.5,0.7796660589581864,0.3335229456424713
18,n02076196,regressed_to_zero_hit,23,17,0,2,23,1,0.0434782608696,0.573943028692,20,0,0,0.470418291539,-0.0434782608696,-0.103524737153,1,n00007846,2,2,1.0,0.9602357905801103,0.2530447989702225
