image_id,file_name,category_id,category_name,transition,annotation_id,bbox_x,bbox_y,bbox_w,bbox_h,area,area_ratio,rank,overlay_path
6484,ILSVRC2012_val_00021011.JPEG,66,n02879718,persistent_zero_hit,18261,176,68,243,570,138510,0.45087890625,1,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/01_img6484_cat66_ann18261.jpg
2770,ILSVRC2012_val_00009206.JPEG,75,n03000684,persistent_zero_hit,7889,110,254,162,85,13770,0.07344,2,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/02_img2770_cat75_ann7889.jpg
1819,ILSVRC2012_val_00006043.JPEG,75,n03000684,persistent_zero_hit,5262,139,140,51,130,6630,0.0307656612529,3,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/03_img1819_cat75_ann5262.jpg
2770,ILSVRC2012_val_00009206.JPEG,75,n03000684,persistent_zero_hit,7890,86,279,104,42,4368,0.023296,4,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/04_img2770_cat75_ann7890.jpg
2770,ILSVRC2012_val_00009206.JPEG,75,n03000684,persistent_zero_hit,7888,234,147,48,21,1008,0.005376,5,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/05_img2770_cat75_ann7888.jpg
17338,ILSVRC2013_val_00002770.JPEG,98,n03400231,persistent_zero_hit,50044,141,212,152,67,10184,0.0611651651652,6,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/06_img17338_cat98_ann50044.jpg
14530,ILSVRC2012_val_00046890.JPEG,98,n03400231,persistent_zero_hit,40913,25,266,114,56,6384,0.034048,7,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/07_img14530_cat98_ann40913.jpg
18560,ILSVRC2013_val_00004419.JPEG,98,n03400231,persistent_zero_hit,55045,268,206,104,35,3640,0.0194133333333,8,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/08_img18560_cat98_ann55045.jpg
3153,ILSVRC2012_val_00010374.JPEG,113,n03676483,persistent_zero_hit,8930,67,135,287,289,82943,0.36219650655,9,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/09_img3153_cat113_ann8930.jpg
12672,ILSVRC2012_val_00040982.JPEG,113,n03676483,persistent_zero_hit,35590,337,736,605,152,91960,0.0951404501066,10,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/10_img12672_cat113_ann35590.jpg
12672,ILSVRC2012_val_00040982.JPEG,113,n03676483,persistent_zero_hit,35593,207,296,203,341,69223,0.0716170876221,11,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/11_img12672_cat113_ann35593.jpg
12672,ILSVRC2012_val_00040982.JPEG,113,n03676483,persistent_zero_hit,35591,716,282,167,351,58617,0.0606442775544,12,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/12_img12672_cat113_ann35591.jpg
8445,ILSVRC2012_val_00027205.JPEG,126,n03908618,persistent_zero_hit,23837,68,3,431,371,159901,0.852805333333,13,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/13_img8445_cat126_ann23837.jpg
18462,ILSVRC2013_val_00004280.JPEG,167,n04468005,persistent_zero_hit,54661,243,1,256,322,82432,0.486324483776,14,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/14_img18462_cat167_ann54661.jpg
18462,ILSVRC2013_val_00004280.JPEG,167,n04468005,persistent_zero_hit,54662,42,131,138,158,21804,0.128637168142,15,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/15_img18462_cat167_ann54662.jpg
18462,ILSVRC2013_val_00004280.JPEG,167,n04468005,persistent_zero_hit,54663,168,172,67,88,5896,0.034784660767,16,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/16_img18462_cat167_ann54663.jpg
11995,ILSVRC2012_val_00038744.JPEG,183,n07695742,persistent_zero_hit,33695,5,4,489,364,177996,0.941777777778,17,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/17_img11995_cat183_ann33695.jpg
14025,ILSVRC2012_val_00045165.JPEG,183,n07695742,persistent_zero_hit,39434,152,183,202,175,35350,0.188533333333,18,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/18_img14025_cat183_ann39434.jpg
14025,ILSVRC2012_val_00045165.JPEG,183,n07695742,persistent_zero_hit,39437,363,140,136,159,21624,0.115328,19,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/19_img14025_cat183_ann39437.jpg
14025,ILSVRC2012_val_00045165.JPEG,183,n07695742,persistent_zero_hit,39436,0,5,150,141,21150,0.1128,20,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/20_img14025_cat183_ann39436.jpg
7122,ILSVRC2012_val_00023070.JPEG,18,n02076196,regressed_to_zero_hit,20033,137,19,340,320,108800,0.609523809524,21,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/21_img7122_cat18_ann20033.jpg
7122,ILSVRC2012_val_00023070.JPEG,18,n02076196,regressed_to_zero_hit,20032,92,136,240,220,52800,0.295798319328,22,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/22_img7122_cat18_ann20032.jpg
3741,ILSVRC2012_val_00012202.JPEG,92,n03255030,regressed_to_zero_hit,10524,98,322,339,101,34239,0.136956,23,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/23_img3741_cat92_ann10524.jpg
3741,ILSVRC2012_val_00012202.JPEG,92,n03255030,regressed_to_zero_hit,10529,91,412,385,74,28490,0.11396,24,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/24_img3741_cat92_ann10529.jpg
3741,ILSVRC2012_val_00012202.JPEG,92,n03255030,regressed_to_zero_hit,10528,131,260,294,68,19992,0.079968,25,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/25_img3741_cat92_ann10528.jpg
3741,ILSVRC2012_val_00012202.JPEG,92,n03255030,regressed_to_zero_hit,10532,112,392,225,79,17775,0.0711,26,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/26_img3741_cat92_ann10532.jpg
6017,ILSVRC2012_val_00019445.JPEG,144,n04118538,regressed_to_zero_hit,16886,167,211,105,106,11130,0.0647093023256,27,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/27_img6017_cat144_ann16886.jpg
5788,ILSVRC2012_val_00018753.JPEG,144,n04118538,regressed_to_zero_hit,16284,387,128,60,49,2940,0.0147,28,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/28_img5788_cat144_ann16284.jpg
15535,ILSVRC2013_val_00000081.JPEG,180,n07583066,regressed_to_zero_hit,43767,0,27,481,471,226551,0.906204,29,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/29_img15535_cat180_ann43767.jpg
6868,ILSVRC2012_val_00022262.JPEG,180,n07583066,regressed_to_zero_hit,19325,121,94,232,255,59160,0.31552,30,results/rfdetr_stratified_seed41_candidate_failure_gt_overlays/30_img6868_cat180_ann19325.jpg
