label,gt_category_id,gt_category_name,transition,top_wrong_candidate,samples,mean_nearest_iou,mean_nearest_group_rank,mean_top_wrong_score,example_image_ids,example_annotation_ids
base,113,n03676483,persistent_zero_hit,n00007846,10,0.888443867196,4.8,0.237,12672;12672;12672;12672;12672,35597;35593;35599;35591;35596
base,183,n07695742,persistent_zero_hit,n00007846,6,0.96911974448,2.66666666667,0.251666666667,11995;14025;14025;14025;14025,33695;39436;39434;39435;39438
base,92,n03255030,regressed_to_zero_hit,n01726692,4,0.860340256737,9.25,0.145,3741;3741;3741;3741,10524;10530;10529;10528
base,92,n03255030,regressed_to_zero_hit,n02084071,3,0.852143910548,10.3333333333,0.13,3741;3741;3741,10526;10525;10533
base,183,n07695742,persistent_zero_hit,n01726692,2,0.955150777755,4,0.22,11995;14025,33696;39439
base,92,n03255030,regressed_to_zero_hit,n03001627,2,0.930983344015,3,0.225,2046;2046,5974;5975
base,92,n03255030,regressed_to_zero_hit,n03513137,2,0.852207110752,22.5,0.095,3741;3741,10527;10531
base,180,n07583066,regressed_to_zero_hit,n00007846,2,0.844459101353,12.5,0.08,15535;6868,43767;19325
base,126,n03908618,persistent_zero_hit,n04379243,1,0.984309780946,10,0.12,8445,23837
base,18,n02076196,regressed_to_zero_hit,n00007846,1,0.978626958201,5,0.09,7122,20032
base,167,n04468005,persistent_zero_hit,n04530566,1,0.930576081089,8,0.13,18462,54663
base,113,n03676483,persistent_zero_hit,n03513137,1,0.906677848062,19,0.1,12672,35598
base,144,n04118538,regressed_to_zero_hit,n02419796,1,0.856575161334,12,0.17,5788,16284
base,75,n03000684,persistent_zero_hit,n03991062,1,0.847098740835,12,0.12,2770,7889
base,66,n02879718,persistent_zero_hit,n00007846,1,0.843691823226,9,0.15,6484,18261
base,98,n03400231,persistent_zero_hit,n04379243,1,0.812204525282,50,0.07,17338,50044
base,75,n03000684,persistent_zero_hit,n00007846,1,0.652851543644,41,0.05,1819,5262
base,98,n03400231,persistent_zero_hit,n04530566,1,0.584556810155,2,0.21,14530,40913
extra_low_lr,92,n03255030,regressed_to_zero_hit,n01495701,7,0.801529690153,13,0.21,3741;3741;3741;3741;3741,10530;10531;10527;10533;10525
extra_low_lr,183,n07695742,persistent_zero_hit,n01726692,5,0.961634854958,3.2,0.316,14025;11995;14025;14025;14025,39434;33696;39435;39438;39439
extra_low_lr,113,n03676483,persistent_zero_hit,n03916031,3,0.946182497187,16.6666666667,0.0966666666667,12672;12672;12672,35593;35591;35592
extra_low_lr,92,n03255030,regressed_to_zero_hit,n07749582,2,0.945226282641,7.5,0.39,3741;3741,10524;10529
extra_low_lr,167,n04468005,persistent_zero_hit,n04530566,2,0.937271759247,8.5,0.075,18462;18462,54661;54662
extra_low_lr,113,n03676483,persistent_zero_hit,n07880968,2,0.911503811379,8,0.155,12672;12672,35597;35599
extra_low_lr,113,n03676483,persistent_zero_hit,n03797390,2,0.887968264261,6,0.18,12672;12672,35594;35590
extra_low_lr,113,n03676483,persistent_zero_hit,n02076196,2,0.862106807032,16.5,0.1,12672;12672,35596;35598
extra_low_lr,98,n03400231,persistent_zero_hit,n04330267,2,0.581643309739,10.5,0.31,18560;14530,55045;40913
extra_low_lr,183,n07695742,persistent_zero_hit,n01674464,1,0.984164159624,13,0.06,14025,39436
extra_low_lr,126,n03908618,persistent_zero_hit,n02870880,1,0.981857164391,39,0.12,8445,23837
extra_low_lr,183,n07695742,persistent_zero_hit,n01662784,1,0.973747684611,2,0.24,11995,33695
extra_low_lr,75,n03000684,persistent_zero_hit,n04379243,1,0.966329225219,14,0.12,2770,7889
extra_low_lr,167,n04468005,persistent_zero_hit,n02828884,1,0.954856849507,5,0.11,18462,54663
extra_low_lr,180,n07583066,regressed_to_zero_hit,n03535780,1,0.937736925905,36,0.06,15535,43767
extra_low_lr,183,n07695742,persistent_zero_hit,n01944390,1,0.936465554591,2,0.37,14025,39437
extra_low_lr,113,n03676483,persistent_zero_hit,n02484322,1,0.931923184079,1,0.24,3153,8930
extra_low_lr,92,n03255030,regressed_to_zero_hit,n04154565,1,0.924037283983,4,0.21,2046,5974
extra_low_lr,18,n02076196,regressed_to_zero_hit,n00007846,1,0.922093415293,2,0.12,7122,20033
extra_low_lr,113,n03676483,persistent_zero_hit,n02880940,1,0.894622288675,5,0.19,12672,35595
extra_low_lr,144,n04118538,regressed_to_zero_hit,n04116512,1,0.872362991881,4,0.34,6017,16886
extra_low_lr,66,n02879718,persistent_zero_hit,n03467517,1,0.865933091187,18,0.05,6484,18261
extra_low_lr,18,n02076196,regressed_to_zero_hit,n01443537,1,0.829288069267,3,0.09,7122,20032
extra_low_lr,144,n04118538,regressed_to_zero_hit,n02802426,1,0.818750189135,9,0.27,5788,16284
extra_low_lr,180,n07583066,regressed_to_zero_hit,n02880940,1,0.786289689199,3,0.36,6868,19325
extra_low_lr,92,n03255030,regressed_to_zero_hit,n02807133,1,0.77106589807,6,0.19,2046,5975
extra_low_lr,183,n07695742,persistent_zero_hit,n01495701,1,0.742375013765,15,0.07,11995,33697
