label,image_id,annotation_id,gt_category_id,gt_category_name,transition,top_wrong_candidate,top_wrong_score,nearest_iou,nearest_group_rank,nearest_group_top_score,nearest_group_size,gt_candidate_present,gt_candidate_rank_in_group,gt_candidate_present_displayed
base,7122,20032,18,n02076196,regressed_to_zero_hit,n00007846,0.09,0.978626958201,5,0.0935774073005,3,0,0,0
base,6484,18261,66,n02879718,persistent_zero_hit,n00007846,0.15,0.843691823226,9,0.15320019424,5,0,0,0
base,1819,5262,75,n03000684,persistent_zero_hit,n00007846,0.05,0.652851543644,41,0.0517402403057,1,0,0,0
base,2770,7889,75,n03000684,persistent_zero_hit,n03991062,0.12,0.847098740835,12,0.122582100332,31,0,0,0
base,3741,10524,92,n03255030,regressed_to_zero_hit,n01726692,0.18,0.933456080561,2,0.181056797504,45,0,0,0
base,3741,10530,92,n03255030,regressed_to_zero_hit,n01726692,0.14,0.877640504564,6,0.137612342834,22,0,0,0
base,3741,10529,92,n03255030,regressed_to_zero_hit,n01726692,0.09,0.877303267343,26,0.0878534838557,3,0,0,0
base,3741,10528,92,n03255030,regressed_to_zero_hit,n01726692,0.17,0.752961174478,3,0.172913387418,28,0,0,0
base,3741,10526,92,n03255030,regressed_to_zero_hit,n02084071,0.17,0.933505488823,4,0.171051725745,18,0,0,0
base,3741,10525,92,n03255030,regressed_to_zero_hit,n02084071,0.12,0.855789083677,10,0.117047071457,14,0,0,0
base,3741,10533,92,n03255030,regressed_to_zero_hit,n02084071,0.1,0.767137159144,17,0.104156933725,5,0,0,0
base,2046,5974,92,n03255030,regressed_to_zero_hit,n03001627,0.25,0.944998833343,2,0.252674847841,63,0,0,0
base,2046,5975,92,n03255030,regressed_to_zero_hit,n03001627,0.2,0.916967854686,4,0.195021748543,71,0,0,0
base,3741,10527,92,n03255030,regressed_to_zero_hit,n03513137,0.08,0.939311235633,29,0.0817858502269,1,0,0,0
base,3741,10531,92,n03255030,regressed_to_zero_hit,n03513137,0.11,0.76510298587,16,0.105054795742,19,0,0,0
base,17338,50044,98,n03400231,persistent_zero_hit,n04379243,0.07,0.812204525282,50,0.0749411135912,6,0,0,0
base,14530,40913,98,n03400231,persistent_zero_hit,n04530566,0.21,0.584556810155,2,0.207743212581,53,0,0,0
base,12672,35597,113,n03676483,persistent_zero_hit,n00007846,0.26,0.96866749319,4,0.256048262119,20,0,0,0
base,12672,35593,113,n03676483,persistent_zero_hit,n00007846,0.3,0.955528443277,3,0.300779730082,44,0,0,0
base,12672,35599,113,n03676483,persistent_zero_hit,n00007846,0.18,0.941696650505,7,0.179898008704,2,0,0,0
