category_id,category_name,transition,train_gt_count,valid_gt_count,test_gt_count,base_groups,base_hit_rate,base_mean_nearest_iou,latest_groups,latest_hit_rate,latest_mean_nearest_iou,top_wrong_pred_category_name,top_wrong_pair_count,top_wrong_mean_iou,base_fixed_samples,base_fixed_gt_candidate_present,base_fixed_present_rate,base_fixed_mean_iou,base_fixed_dominant_top_candidate,base_fixed_dominant_top_count,extra_low_lr_fixed_samples,extra_low_lr_fixed_gt_candidate_present,extra_low_lr_fixed_present_rate,extra_low_lr_fixed_mean_iou,extra_low_lr_fixed_dominant_top_candidate,extra_low_lr_fixed_dominant_top_count,full_lr_2ep_fixed_samples,full_lr_2ep_fixed_gt_candidate_present,full_lr_2ep_fixed_present_rate,full_lr_2ep_fixed_mean_iou,full_lr_2ep_fixed_dominant_top_candidate,full_lr_2ep_fixed_dominant_top_count
113,n03676483,persistent_zero_hit,20,0,11,47,0,0.560153139715,43,0,0.640168701147,n07880968,3,0.9549831723888337,11,0,0,0.890101501821,n00007846,10,11,0,0,0.908022793606,n03916031,3,11,0,0,0.89911980609,n02880940,8
183,n07695742,persistent_zero_hit,20,0,9,40,0,0.545602750778,36,0,0.612080725531,n01726692,7,0.9546441322826829,9,0,0,0.91306829237,n00007846,6,9,0,0,0.938325187487,n01726692,5,9,0,0,0.937163714056,n01726692,5
75,n03000684,persistent_zero_hit,18,0,4,20,0,0.257508497126,38,0,0.347516780033,n04379243,1,0.8381775523658616,4,0,0,0.488535167416,n03991062,3,4,0,0,0.620363858696,n04336792,2,4,0,0,0.596161939835,n00007846,1
98,n03400231,persistent_zero_hit,16,3,3,26,0,0.117951921975,37,0,0.128976017438,n02870880,1,0.8053633436988411,3,0,0,0.546842461166,n00007846,1,3,0,0,0.543527076686,n04330267,2,3,0,0,0.574580494415,n03207941,1
167,n04468005,persistent_zero_hit,8,1,3,20,0,0.380487209419,34,0,0.411608059398,n04530566,3,0.915298023621043,3,2,0.666666666667,0.918264106088,n04530566,2,3,0,0,0.943133456,n04530566,2,3,0,0,0.95187842426,n04530566,2
126,n03908618,persistent_zero_hit,8,5,1,70,0,0.216528661177,70,0,0.127868019417,n02870880,1,0.9887892306294195,1,0,0,0.984309780946,n04379243,1,1,0,0,0.981857164391,n02870880,1,1,0,0,0.989935853647,n02870880,1
66,n02879718,persistent_zero_hit,7,0,1,20,0,0.189481188543,23,0,0.309919835959,n00007846,1,0.5367580945192012,1,0,0,0.843691823226,n00007846,1,1,0,0,0.865933091187,n03467517,1,1,0,0,0.768453092993,n02766320,1
92,n03255030,regressed_to_zero_hit,21,0,14,75,0.0133333333333,0.27542941908,80,0,0.305542018171,n03513137,3,0.7457152613043935,14,0,0,0.764857223598,n01726692,5,14,0,0,0.738190870658,n01495701,8,14,0,0,0.69030267177,n02206856,6
18,n02076196,regressed_to_zero_hit,17,0,2,23,0.0434782608696,0.573943028692,20,0,0.470418291539,n00007846,2,0.9602357905801103,2,1,0.5,0.953515680319,n00007846,2,2,0,0,0.87569074228,n00007846,1,2,1,0.5,0.937502121028,n00007846,2
180,n07583066,regressed_to_zero_hit,7,2,2,38,0.0263157894737,0.186049446047,46,0,0.181777208375,n02958343,1,0.7796660589581864,2,0,0,0.844459101353,n00007846,2,2,0,0,0.862013307552,n02880940,1,2,0,0,0.864222927916,n02870880,1
144,n04118538,regressed_to_zero_hit,5,1,2,35,0.0571428571429,0.161267554281,51,0,0.145445267661,n02807133,1,0.9248117017063423,2,1,0.5,0.850333675966,n02419796,1,2,0,0,0.845556590508,n02802426,1,2,2,1,0.893662913222,n02802426,1
