category_id,category_name,groups,candidate_hits,candidate_hit_rate,mean_nearest_iou,mean_hit_iou,train_gt_count,valid_gt_count,test_gt_count
92,n03255030,80,0,0.0,0.3055420181713998,0.0,21,0,14
126,n03908618,70,0,0.0,0.1278680194169283,0.0,8,5,1
144,n04118538,51,0,0.0,0.14544526766072594,0.0,5,1,2
180,n07583066,46,0,0.0,0.18177720837538008,0.0,7,2,2
113,n03676483,43,0,0.0,0.6401687011469243,0.0,20,0,11
75,n03000684,38,0,0.0,0.34751678003292336,0.0,18,0,4
98,n03400231,37,0,0.0,0.12897601743807663,0.0,16,3,3
183,n07695742,36,0,0.0,0.6120807255307833,0.0,20,0,9
167,n04468005,34,0,0.0,0.4116080593975151,0.0,8,1,3
114,n03710721,26,0,0.0,0.2160566639011869,0.0,6,0,2
66,n02879718,23,0,0.0,0.30991983595911576,0.0,7,0,1
18,n02076196,20,0,0.0,0.47041829153895376,0.0,17,0,2
42,n02437136,20,0,0.0,0.29281357643194494,0.0,12,2,1
77,n03017168,13,0,0.0,0.4374734518619684,0.0,18,2,1
186,n07714571,12,0,0.0,0.06864190101623535,0.0,36,0,1
172,n04536866,11,0,0.0,0.43303563784469257,0.0,13,0,1
119,n03770439,8,0,0.0,0.0579533576965332,0.0,13,2,1
135,n03995372,8,0,0.0,0.5361789837479591,0.0,5,0,1
141,n04070727,4,0,0.0,0.40770650655031204,0.0,6,0,1
181,n07615774,4,0,0.0,0.10014968365430832,0.0,11,0,1
80,n03085013,3,0,0.0,0.2588987660904725,0.0,19,3,1
105,n03494278,3,0,0.0,0.7781346241633097,0.0,13,0,1
97,n03394916,37,1,0.02702702702702703,0.327802764075632,0.894135057926178,12,0,2
79,n03063338,57,2,0.03508771929824561,0.29401371172188145,0.4938165806233883,5,0,2
74,n02992211,52,2,0.038461538461538464,0.3656055795458647,0.659275472164154,6,1,3
49,n02510455,42,2,0.047619047619047616,0.09618065075760353,0.779540091753006,6,0,1
168,n04487394,16,1,0.0625,0.27321267197839916,0.1521589457988739,7,4,2
70,n02924116,52,4,0.07692307692307693,0.17876563591506475,0.48105537646915764,17,0,2
127,n03908714,13,1,0.07692307692307693,0.5934491249231192,0.9629397988319397,26,1,1
143,n04116512,25,2,0.08,0.12665874242782593,0.2748023271560669,43,11,20
188,n07718747,108,9,0.08333333333333333,0.08614903721630711,0.43886473774909973,21,0,4
88,n03196217,28,3,0.10714285714285714,0.4798866920173168,0.8524661262830099,17,0,1
162,n04376876,35,4,0.11428571428571428,0.19402346445380578,0.534779142588377,12,0,2
44,n02445715,17,2,0.11764705882352941,0.6373513495439992,0.8473637402057648,6,0,2
9,n01770393,33,4,0.12121212121212122,0.38869517827124306,0.40475169382989407,6,0,1
115,n03720891,15,2,0.13333333333333333,0.5880280191699664,0.8034521639347076,11,1,2
101,n03467517,22,3,0.13636363636363635,0.40377042154696857,0.5700357196231683,18,0,1
150,n04252077,21,3,0.14285714285714285,0.33548853333507267,0.6677378217379252,6,0,1
87,n03188531,7,1,0.14285714285714285,0.3791271990963391,0.8708425760269165,15,0,1
99,n03445777,7,1,0.14285714285714285,0.27743115595408846,0.9709194302558899,20,0,1
6,n01662784,79,13,0.16455696202531644,0.28197949917256077,0.6424137147573324,23,2,5
90,n03211117,48,8,0.16666666666666666,0.10823915650447209,0.3143453225493431,39,6,3
157,n04330267,57,10,0.17543859649122806,0.17525310685302606,0.2955621615052223,11,0,3
