role,positive_category_id,positive_category_name,category_id,category_name,negative_category_id,negative_category_name,configured_samples,configured_weight,present_in_dataset_categories,train_images,train_boxes,valid_images,valid_boxes,test_images,test_boxes
positive,92,n03255030,92,n03255030,,,,14.556432,true,5,21,0,0,2,14
negative,92,n03255030,3,n01495701,3,n01495701,7,3.0,true,2,14,1,1,1,2
negative,92,n03255030,26,n02206856,26,n02206856,5,3.0,true,3,8,2,2,0,0
negative,92,n03255030,8,n01726692,8,n01726692,4,3.0,true,25,34,4,4,4,4
negative,92,n03255030,107,n03513137,107,n03513137,4,3.0,true,28,56,5,25,6,13
negative,92,n03255030,19,n02084071,19,n02084071,3,2.556432,true,127,196,33,46,26,36
positive,113,n03676483,113,n03676483,,,,12.437492,true,4,20,0,0,2,11
negative,113,n03676483,1,n00007846,1,n00007846,10,3.0,true,293,746,71,179,72,143
negative,113,n03676483,67,n02880940,67,n02880940,8,3.0,true,28,56,5,8,3,3
negative,113,n03676483,128,n03916031,128,n03916031,3,2.838547,true,4,7,1,1,1,2
negative,113,n03676483,200,n07880968,200,n07880968,2,1.823008,true,4,8,1,1,0,0
negative,113,n03676483,122,n03797390,122,n03797390,2,1.775937,true,19,32,3,4,1,1
positive,183,n07695742,183,n07695742,,,,7.708755,true,1,20,0,0,2,9
negative,183,n07695742,8,n01726692,8,n01726692,12,3.0,true,25,34,4,4,4,4
negative,183,n07695742,1,n00007846,1,n00007846,6,3.0,true,293,746,71,179,72,143
negative,183,n07695742,26,n02206856,26,n02206856,2,1.708755,true,3,8,2,2,0,0
positive,167,n04468005,167,n04468005,,,,3.0,true,2,8,1,1,1,3
negative,167,n04468005,171,n04530566,171,n04530566,4,3.0,true,24,56,5,18,7,9
positive,180,n07583066,180,n07583066,,,,1.688918,true,2,7,1,2,2,2
negative,180,n07583066,1,n00007846,1,n00007846,2,1.688918,true,293,746,71,179,72,143
positive,98,n03400231,98,n03400231,,,,1.163287,true,5,16,1,3,3,3
negative,98,n03400231,157,n04330267,157,n04330267,2,1.163287,true,10,11,0,0,3,3
