gt_category_id,gt_category_name,pred_category_id,pred_category_name,top_k,iou_threshold,gt_count,loc_matched_count,pair_count,pair_fraction_of_gt,pair_fraction_of_loc_matched,mean_iou,mean_score,is_correct_category
183,n07695742,8,n01726692,100,0.5,9,9,7,0.7777777777777778,0.7777777777777778,0.9546441322826829,0.3236750162073544,False
191,n07739125,194,n07749582,100,0.5,11,11,6,0.5454545454545454,0.5454545454545454,0.8930953170819041,0.2707085758447647,False
58,n02799071,56,n02786058,100,0.5,6,6,5,0.8333333333333334,0.8333333333333334,0.9562916959731753,0.32056747674942015,False
46,n02484322,24,n02131653,100,0.5,11,11,4,0.36363636363636365,0.36363636363636365,0.9186895425781936,0.18450469803065062,False
163,n04379243,76,n03001627,100,0.5,20,15,4,0.2,0.26666666666666666,0.7282361260027679,0.14116250537335873,False
125,n03838899,8,n01726692,100,0.5,3,3,3,1.0,1.0,0.8528384155516466,0.20337754487991333,False
167,n04468005,171,n04530566,100,0.5,3,3,3,1.0,1.0,0.915298023621043,0.25316395858923596,False
92,n03255030,107,n03513137,100,0.5,14,8,3,0.21428571428571427,0.375,0.7457152613043935,0.1538255214691162,False
113,n03676483,200,n07880968,100,0.5,11,10,3,0.2727272727272727,0.3,0.9549831723888337,0.14378094424804053,False
46,n02484322,19,n02084071,100,0.5,11,11,3,0.2727272727272727,0.2727272727272727,0.7545128132162913,0.04355821075538794,False
3,n01495701,8,n01726692,100,0.5,2,2,2,1.0,1.0,0.7656526019259458,0.18080946058034897,False
18,n02076196,1,n00007846,100,0.5,2,2,2,1.0,1.0,0.9602357905801103,0.2530447989702225,False
48,n02509815,24,n02131653,100,0.5,2,2,2,1.0,1.0,0.9687496813457797,0.41908882558345795,False
134,n03991062,178,n04591713,100,0.5,2,2,2,1.0,1.0,0.8356288447887533,0.1747848093509674,False
148,n04154565,123,n03804744,100,0.5,2,2,2,1.0,1.0,0.7961535970950595,0.1258966252207756,False
2,n01443537,5,n01639765,100,0.5,3,3,2,0.6666666666666666,0.6666666666666666,0.8440047785872511,0.17764585837721825,False
67,n02880940,163,n04379243,100,0.5,3,3,2,0.6666666666666666,0.6666666666666666,0.8660728408419794,0.15932364016771317,False
90,n03211117,164,n04392985,100,0.5,3,3,2,0.6666666666666666,0.6666666666666666,0.8725485093081641,0.18705174326896667,False
117,n03761084,79,n03063338,100,0.5,3,3,2,0.6666666666666666,0.6666666666666666,0.9176998261181774,0.4562087655067444,False
63,n02834778,1,n00007846,100,0.5,5,4,2,0.4,0.5,0.7328751137377956,0.34318841248750687,False
64,n02840245,54,n02769748,100,0.5,4,4,2,0.5,0.5,0.7538854882102186,0.10966446623206139,False
111,n03636649,1,n00007846,100,0.5,13,4,2,0.15384615384615385,0.5,0.5150338239962446,0.1271911934018135,False
120,n03790512,72,n02958343,100,0.5,4,4,2,0.5,0.5,0.8685127743395196,0.34524722397327423,False
188,n07718747,8,n01726692,100,0.5,4,4,2,0.5,0.5,0.818353266408045,0.2518962621688843,False
92,n03255030,76,n03001627,100,0.5,14,8,2,0.14285714285714285,0.25,0.9263882410156457,0.25840697437524796,False
113,n03676483,46,n02484322,100,0.5,11,10,2,0.18181818181818182,0.2,0.8828796120635054,0.22126588225364685,False
113,n03676483,107,n03513137,100,0.5,11,10,2,0.18181818181818182,0.2,0.9187135806937252,0.12374913692474365,False
