slice,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
all,10,0.5,604,0.706953642384106,0.49834437086092714,0.695364238410596,0.7049180327868853,0.19701986754966888,0.6616731047284616,0.4523976173113509,0.631671961967344
all,10,0.75,604,0.5960264900662252,0.43211920529801323,0.5844370860927153,0.7249999999999999,0.15231788079470204,0.6616731047284616,0.4523976173113509,0.631671961967344
all,50,0.5,604,0.8079470198675497,0.6076158940397351,0.7119205298013245,0.7520491803278689,0.10430463576158933,0.7365588919370457,0.5527532070700822,0.6432571379882447
all,50,0.75,604,0.6705298013245033,0.5149006622516556,0.5927152317880795,0.7679012345679013,0.07781456953642385,0.7365588919370457,0.5527532070700822,0.6432571379882447
all,100,0.5,604,0.8427152317880795,0.6423841059602649,0.7119205298013245,0.7622789783889979,0.06953642384105962,0.759519225008677,0.5800401505342995,0.6432571379882447
all,100,0.75,604,0.695364238410596,0.5447019867549668,0.5927152317880795,0.7833333333333332,0.04801324503311266,0.759519225008677,0.5800401505342995,0.6432571379882447
offcenter,10,0.5,296,0.6216216216216216,0.4189189189189189,0.6418918918918919,0.6739130434782609,0.22297297297297297,0.5793417851001328,0.3815925254082421,0.5673520002297836
offcenter,10,0.75,296,0.4864864864864865,0.33783783783783783,0.48986486486486486,0.6944444444444444,0.15202702702702703,0.5793417851001328,0.3815925254082421,0.5673520002297836
offcenter,50,0.5,296,0.7668918918918919,0.5405405405405406,0.6655405405405406,0.7048458149779736,0.125,0.6810863996025924,0.47725833685052005,0.5822423153216494
offcenter,50,0.75,296,0.5743243243243243,0.40878378378378377,0.5,0.7117647058823529,0.09121621621621623,0.6810863996025924,0.47725833685052005,0.5822423153216494
offcenter,100,0.5,296,0.8040540540540541,0.5743243243243243,0.6655405405405406,0.7142857142857143,0.09121621621621623,0.7067035509902658,0.5073730605126675,0.5822423153216494
offcenter,100,0.75,296,0.5945945945945946,0.44256756756756754,0.5,0.7443181818181818,0.057432432432432456,0.7067035509902658,0.5073730605126675,0.5822423153216494
center,10,0.5,308,0.788961038961039,0.5746753246753247,0.7467532467532467,0.7283950617283951,0.17207792207792205,0.7407967106050374,0.5204440692701828,0.6934859511696747
center,10,0.75,308,0.7012987012987013,0.5227272727272727,0.6753246753246753,0.7453703703703703,0.15259740259740262,0.7407967106050374,0.5204440692701828,0.6934859511696747
center,50,0.5,308,0.8474025974025974,0.672077922077922,0.7564935064935064,0.7931034482758621,0.08441558441558439,0.7898701183363903,0.6253067187096615,0.7018947597717258
center,50,0.75,308,0.762987012987013,0.6168831168831169,0.6818181818181818,0.8085106382978724,0.06493506493506485,0.7898701183363903,0.6253067187096615,0.7018947597717258
center,100,0.5,308,0.8798701298701299,0.7077922077922078,0.7564935064935064,0.8044280442804427,0.04870129870129869,0.8102771454939033,0.6498760552304133,0.7018947597717258
center,100,0.75,308,0.7922077922077922,0.6428571428571429,0.6818181818181818,0.8114754098360656,0.03896103896103886,0.8102771454939033,0.6498760552304133,0.7018947597717258
small,10,0.5,237,0.4430379746835443,0.29535864978902954,0.5232067510548524,0.6666666666666667,0.22784810126582283,0.4017267923253416,0.25419351906317755,0.444501062150378
small,10,0.75,237,0.2742616033755274,0.189873417721519,0.31223628691983124,0.6923076923076924,0.12236286919831224,0.4017267923253416,0.25419351906317755,0.444501062150378
small,50,0.5,237,0.5949367088607594,0.4177215189873418,0.5611814345991561,0.7021276595744681,0.14345991561181437,0.5209868870463195,0.36407511385719127,0.46966217785788206
small,50,0.75,237,0.3459915611814346,0.25738396624472576,0.32489451476793246,0.7439024390243903,0.0675105485232067,0.5209868870463195,0.36407511385719127,0.46966217785788206
small,100,0.5,237,0.6582278481012658,0.4767932489451477,0.5611814345991561,0.7243589743589745,0.08438818565400846,0.567034730695397,0.4030469381942751,0.46966217785788206
small,100,0.75,237,0.38396624472573837,0.2869198312236287,0.32489451476793246,0.7472527472527473,0.03797468354430378,0.567034730695397,0.4030469381942751,0.46966217785788206
medium,10,0.5,193,0.8134715025906736,0.533678756476684,0.7564766839378239,0.6560509554140127,0.2227979274611399,0.7789868291315664,0.48727914774321673,0.6975345160243703
medium,10,0.75,193,0.7305699481865285,0.48704663212435234,0.7098445595854922,0.6666666666666666,0.22279792746113986,0.7789868291315664,0.48727914774321673,0.6975345160243703
medium,50,0.5,193,0.9119170984455959,0.6632124352331606,0.7616580310880829,0.7272727272727273,0.0984455958549223,0.8401500226744505,0.6020394389375118,0.700437649617388
medium,50,0.75,193,0.8238341968911918,0.5958549222797928,0.7150259067357513,0.7232704402515723,0.11917098445595853,0.8401500226744505,0.6020394389375118,0.700437649617388
medium,100,0.5,193,0.9326424870466321,0.689119170984456,0.7616580310880829,0.7388888888888889,0.07253886010362698,0.8481359554727707,0.630539800662433,0.700437649617388
medium,100,0.75,193,0.844559585492228,0.6424870466321243,0.7150259067357513,0.7607361963190183,0.07253886010362698,0.8481359554727707,0.630539800662433,0.700437649617388
large,10,0.5,174,0.9482758620689655,0.735632183908046,0.8620689655172413,0.7757575757575758,0.12643678160919536,0.8856140658189227,0.6836748351933454,0.8135571937122568
large,10,0.75,174,0.8850574712643678,0.7011494252873564,0.8160919540229885,0.7922077922077922,0.11494252873563215,0.8856140658189227,0.6836748351933454,0.8135571937122568
large,50,0.5,174,0.9827586206896551,0.8045977011494253,0.8620689655172413,0.8187134502923977,0.05747126436781602,0.915280023700166,0.7550777205243423,0.8162810851518727
large,50,0.75,174,0.9425287356321839,0.7758620689655172,0.8218390804597702,0.8231707317073171,0.04597701149425293,0.915280023700166,0.7550777205243423,0.8162810851518727
large,100,0.5,174,0.9942528735632183,0.8160919540229885,0.8620689655172413,0.8208092485549133,0.04597701149425282,0.9234031110585462,0.7651031324300236,0.8162810851518727
large,100,0.75,174,0.9540229885057471,0.7873563218390804,0.8218390804597702,0.8253012048192772,0.034482758620689724,0.9234031110585462,0.7651031324300236,0.8162810851518727
