category_id,category_name,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,loc_to_class_gap,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
183,n07695742,100,0.5,9,1.0,0.0,0.0,0.0,1.0,0.0,0.9569752981931807,0.0,0.0
64,n02840245,100,0.5,4,1.0,0.0,0.5,0.0,1.0,0.5,0.8625889984838335,0.0,0.4074874575764971
198,n07768694,100,0.5,4,1.0,0.0,0.5,0.0,1.0,0.5,0.9402965256140555,0.0,0.47088531609544143
74,n02992211,100,0.5,3,1.0,0.0,0.0,0.0,1.0,0.0,0.8356571214933591,0.0,0.0
117,n03761084,100,0.5,3,1.0,0.0,0.0,0.0,1.0,0.0,0.9360742344391308,0.0,0.0
167,n04468005,100,0.5,3,1.0,0.0,0.0,0.0,1.0,0.0,0.9131783219364005,0.0,0.0
3,n01495701,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.7661354475636724,0.0,0.5344164200971528
18,n02076196,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.9613609243936028,0.0,0.6517105824508181
97,n03394916,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.6595922982118281,0.0,0.47391273211904417
106,n03495258,100,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,0.7234096395403251,0.0,0.0
115,n03720891,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.9022679142201402,0.0,0.5594965564761751
128,n03916031,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.903088553571882,0.0,0.46638658381787806
144,n04118538,100,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,0.8992058342954538,0.0,0.0
148,n04154565,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.8015520110274164,0.0,0.4375610197836868
168,n04487394,100,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,0.6655337402305694,0.0,0.0
180,n07583066,100,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,0.6515593361297806,0.0,0.0
42,n02437136,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9762436159496731,0.0,0.0
49,n02510455,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9567840524598296,0.0,0.9567840524598296
66,n02879718,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.5377234300072403,0.0,0.0
68,n02883205,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.6542731939518324,0.0,0.0
77,n03017168,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.7943905416233894,0.0,0.0
80,n03085013,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.7140826600216584,0.0,0.0
89,n03207941,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9424936945699727,0.0,0.4771005278326256
99,n03445777,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9581436116291002,0.0,0.0
101,n03467517,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.8949850490785434,0.0,0.8949850490785434
105,n03494278,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.7844590790391894,0.0,0.0
112,n03642806,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9676881449853035,0.0,0.0
126,n03908618,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9873038022660706,0.0,0.0
127,n03908714,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9653400122410289,0.03401415226620181,0.03401415226620181
135,n03995372,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9354355576456692,0.0,0.9354355576456692
141,n04070727,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9051459229929372,0.0,0.0
150,n04252077,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.8841510206134182,0.0,0.0
172,n04536866,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.6995322769141151,0.0,0.0
179,n06874185,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.7693953553514888,0.0,0.7693953553514888
186,n07714571,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.6803822080683091,0.0,0.0
113,n03676483,100,0.5,11,0.9090909090909091,0.0,0.0,0.0,0.9090909090909091,0.0,0.8403065616732466,0.0,0.0
157,n04330267,100,0.5,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.0,0.7573911024197026,0.2935710062933892,0.3801370281572016
