category_id,category_name,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,loc_to_class_gap,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
183,n07695742,100,0.5,9,1.0,0.0,0.0,0.0,1.0,0.0,0.9615001682834756,0.0,0.0
64,n02840245,100,0.5,4,1.0,0.0,0.0,0.0,1.0,0.0,0.848792224437092,0.0,0.0
198,n07768694,100,0.5,4,1.0,0.0,0.5,0.0,1.0,0.5,0.9423195646180965,0.0,0.47244491887018314
74,n02992211,100,0.5,3,1.0,0.0,0.0,0.0,1.0,0.0,0.8389321055126756,0.0,0.0
98,n03400231,100,0.5,3,1.0,0.0,0.0,0.0,1.0,0.0,0.6272724155315416,0.0,0.0
117,n03761084,100,0.5,3,1.0,0.0,0.0,0.0,1.0,0.0,0.9393742525000404,0.0,0.0
167,n04468005,100,0.5,3,1.0,0.0,0.0,0.0,1.0,0.0,0.9147495106581429,0.0,0.0
3,n01495701,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.7553240436820566,0.0,0.5051038242257376
18,n02076196,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.9622613108663891,0.0,0.6530371209708836
97,n03394916,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.6662920912673123,0.0,0.47394262402849957
115,n03720891,100,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,0.9612957416826193,0.0,0.0
144,n04118538,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.8836017168690231,0.0,0.43349053408314875
148,n04154565,100,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.8162509997104974,0.0,0.4457955405293502
168,n04487394,100,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,0.6763216033005934,0.0,0.007307497331029701
180,n07583066,100,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,0.8689387310572767,0.0,0.121015410202903
42,n02437136,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9845383904146331,0.0,0.0
49,n02510455,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9501706367889807,0.0,0.9501706367889807
66,n02879718,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.8387915871924988,0.0,0.005240144474906241
68,n02883205,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.6090451241322153,0.0,0.0
77,n03017168,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.8181965482258102,0.0,0.0
80,n03085013,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.5439544311567036,0.0,0.0
89,n03207941,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.8527599342343282,0.47893036658418275,0.5299598617168867
99,n03445777,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9582429771694883,0.0,0.0
105,n03494278,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9311039037508538,0.0,0.0
112,n03642806,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9670134121185442,0.0,0.0
126,n03908618,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9917831875808327,0.0,0.0
127,n03908714,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9729571449972529,0.03334211646939998,0.03334211646939998
135,n03995372,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9338757446590813,0.0,0.0
141,n04070727,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.911206538045032,0.0,0.0
150,n04252077,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.8993361353499107,0.0,0.0
172,n04536866,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.7006235786673493,0.0,0.0
179,n06874185,100,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.7627773269034839,0.0,0.7627773269034839
181,n07615774,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.8219490620084523,0.0,0.01630486193133081
186,n07714571,100,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.8169516077125022,0.0,0.0
113,n03676483,100,0.5,11,0.9090909090909091,0.0,0.0,0.0,0.9090909090909091,0.0,0.8232152683710097,0.0,0.0
58,n02799071,100,0.5,6,1.0,0.16666666666666666,1.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.9560740520916303,0.15868287159390473,0.9560740520916303
63,n02834778,100,0.5,5,1.0,0.2,0.2,0.2,0.8,0.0,0.7300727768165114,0.18754120299210547,0.26227883706621863
92,n03255030,100,0.5,14,0.5714285714285714,0.0,0.0,0.0,0.5714285714285714,0.0,0.6047299432527474,0.0,0.006968262296278038
120,n03790512,100,0.5,4,1.0,0.5,0.75,0.5,0.5,0.25,0.7759593355488632,0.4244326252333849,0.6165325850993723
188,n07718747,100,0.5,4,1.0,0.5,1.0,0.5,0.5,0.5,0.8758173470232054,0.4858923961996423,0.8758173470232054
40,n02411705,100,0.5,2,1.0,0.5,1.0,0.5,0.5,0.5,0.7962502152450582,0.4913303238726402,0.722637954705652
43,n02444819,100,0.5,2,1.0,0.5,1.0,0.5,0.5,0.5,0.8982870201400226,0.58633435762809,0.8665076115060807
44,n02445715,100,0.5,2,1.0,0.5,0.5,0.5,0.5,0.0,0.9085143181386028,0.4317563331596595,0.4317563331596595
79,n03063338,100,0.5,2,1.0,0.5,1.0,0.5,0.5,0.5,0.7635660711323623,0.46690610610230693,0.7635660711323623
106,n03495258,100,0.5,2,1.0,0.5,0.5,0.5,0.5,0.0,0.6685371021277218,0.39475138120967773,0.6110964129112286
128,n03916031,100,0.5,2,1.0,0.5,1.0,0.5,0.5,0.5,0.8954412763274604,0.46263896619353095,0.8954412763274604
134,n03991062,100,0.5,2,1.0,0.5,1.0,0.5,0.5,0.5,0.8313195203107062,0.4144750783180091,0.8313195203107062
139,n04026417,100,0.5,2,1.0,0.5,0.5,0.5,0.5,0.0,0.9697172007434307,0.4871585042176082,0.4871585042176082
67,n02880940,100,0.5,3,1.0,0.6666666666666666,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.9089691246799454,0.5793611369569193,0.9089691246799454
125,n03838899,100,0.5,3,1.0,0.6666666666666666,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.8553292787949669,0.4062377569989773,0.7211375897310662
157,n04330267,100,0.5,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6726559301129904,0.3722960396430725,0.4778804124798979
111,n03636649,100,0.5,13,0.3076923076923077,0.0,0.46153846153846156,0.0,0.3076923076923077,0.46153846153846156,0.2392496884891425,0.005152771656201222,0.36028313510156773
51,n02691156,100,0.5,4,0.75,0.5,0.75,0.6666666666666666,0.25,0.25,0.5361923967221364,0.2932851426103115,0.5666115591723903
75,n03000684,100,0.5,4,0.25,0.0,0.0,0.0,0.25,0.0,0.4477869321054559,0.0,0.0
132,n03958227,100,0.5,4,0.25,0.0,0.25,0.0,0.25,0.25,0.2721986688341023,0.0,0.22936406772936302
6,n01662784,100,0.5,5,0.6,0.4,0.6,0.6666666666666667,0.19999999999999996,0.19999999999999996,0.4841488479845698,0.38195370681975893,0.4841488479845698
194,n07749582,100,0.5,13,1.0,0.8461538461538461,1.0,0.8461538461538461,0.15384615384615385,0.15384615384615385,0.8417132506621857,0.746093144091823,0.8417132506621857
171,n04530566,100,0.5,9,0.7777777777777778,0.6666666666666666,0.8888888888888888,0.8571428571428571,0.11111111111111116,0.2222222222222222,0.7755414196089419,0.7073195938833785,0.838172534839212
46,n02484322,100,0.5,11,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.9000000000000001,0.09090909090909083,0.0,0.8442504532840434,0.7346858680014869,0.7365295331105408
4,n01503061,100,0.5,38,1.0,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.07894736842105265,0.0,0.9167011869213745,0.8506714717672456,0.8515383331373543
163,n04379243,100,0.5,20,0.75,0.7,0.75,0.9333333333333332,0.050000000000000044,0.050000000000000044,0.712472217889878,0.6588760790251351,0.724300544333133
143,n04116512,100,0.5,20,0.05,0.0,0.0,0.0,0.05,0.0,0.0819372588287693,0.0,0.009169774828280885
1,n00007846,100,0.5,143,0.9230769230769231,0.9230769230769231,0.9370629370629371,1.0,0.0,0.013986013986013957,0.8328115813330392,0.8319886719416364,0.8396830633647209
19,n02084071,100,0.5,36,1.0,1.0,1.0,1.0,0.0,0.0,0.9372595031629181,0.9372595031629181,0.9379490010801024
76,n03001627,100,0.5,27,0.8148148148148148,0.8148148148148148,0.8518518518518519,1.0,0.0,0.03703703703703709,0.6792560247375282,0.6772036312261535,0.7037001252257098
72,n02958343,100,0.5,14,0.9285714285714286,0.9285714285714286,1.0,1.0,0.0,0.0714285714285714,0.7939834369288388,0.7899822163584487,0.8173609978888845
107,n03513137,100,0.5,13,0.7692307692307693,0.7692307692307693,0.8461538461538461,1.0,0.0,0.07692307692307687,0.6856224394616143,0.6747970606954607,0.7475168530165701
191,n07739125,100,0.5,11,1.0,1.0,1.0,1.0,0.0,0.0,0.8214913546527775,0.8214913546527775,0.8433639141055388
160,n04356056,100,0.5,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.0,0.0,0.25270385296277104,0.16187299361121532,0.2760093137429867
7,n01674464,100,0.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.8820932492364004,0.8820932492364004,0.8839178547049872
8,n01726692,100,0.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.9464566562318972,0.9464566562318972,0.9474598205804634
149,n04228054,100,0.5,4,0.75,0.75,0.75,1.0,0.0,0.0,0.5517434319180683,0.5517434319180683,0.5886413767979363
154,n04256520,100,0.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.9056188896088377,0.874965323827468,0.9138843436629239
2,n01443537,100,0.5,3,1.0,1.0,1.0,1.0,0.0,0.0,0.874901539404803,0.874901539404803,0.9102056574955179
35,n02374451,100,0.5,3,1.0,1.0,1.0,1.0,0.0,0.0,0.9589037260821668,0.9512986686305593,0.9512986686305593
37,n02395003,100,0.5,3,1.0,1.0,1.0,1.0,0.0,0.0,0.9100707321560509,0.9100707321560509,0.9105562571422214
41,n02419796,100,0.5,3,1.0,1.0,1.0,1.0,0.0,0.0,0.907660689528046,0.907660689528046,0.907660689528046
69,n02892767,100,0.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1719286823927029,0.0893851558317228,0.12961447077493432
90,n03211117,100,0.5,3,1.0,1.0,1.0,1.0,0.0,0.0,0.8678553832408307,0.8678553832408307,0.8678553832408307
177,n04591157,100,0.5,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.4286539480592715,0.4084543103175234,0.41106368621430217
17,n02062744,100,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.8340957160532235,0.7391179183041363,0.8340957160532235
21,n02121808,100,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.9219268485686369,0.9219268485686369,0.9219268485686369
38,n02398521,100,0.5,2,0.5,0.5,0.5,1.0,0.0,0.0,0.6657812527831564,0.5277321650377194,0.5277321650377194
48,n02509815,100,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.9686580796879922,0.9686580796879922,0.9686580796879922
54,n02769748,100,0.5,2,0.5,0.5,0.5,1.0,0.0,0.0,0.509230764164384,0.4217277472139569,0.4217277472139569
60,n02807133,100,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.9274418009861847,0.903342675707456,0.9512077842363169
70,n02924116,100,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.949372510291696,0.949372510291696,0.949372510291696
85,n03134739,100,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.7849502720797725,0.7849502720797725,0.7849502720797725
114,n03710721,100,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.483783071026777,0.0,0.0
162,n04376876,100,0.5,2,0.5,0.5,0.5,1.0,0.0,0.0,0.6426228280401479,0.4896111588424316,0.4896111588424316
164,n04392985,100,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.08711517805079723,0.08711517805079723,0.08711517805079723
173,n04540053,100,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.8657677140178603,0.8230792100389976,0.8657677140178603
182,n07693725,100,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.970432203105561,0.970432203105561,0.970432203105561
9,n01770393,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9643883534199369,0.9643883534199369,0.9643883534199369
14,n01944390,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.8007803510756456,0.8007803510756456,0.8007803510756456
20,n02118333,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9719466345472052,0.9515797850278188,0.9719466345472052
24,n02131653,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9630001423102068,0.9630001423102068,0.9630001423102068
28,n02268443,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9536823793355313,0.9536823793355313,0.9536823793355313
61,n02815834,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.8969242652255396,0.8969242652255396,0.8969242652255396
65,n02870880,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.7936932964055377,0.7936932964055377,0.7936932964055377
84,n03128519,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9423275344361398,0.9423275344361398,0.9423275344361398
87,n03188531,100,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3021393270505684,0.0,0.04900750581408804
88,n03196217,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9759168952761591,0.9759168952761591,0.9759168952761591
101,n03467517,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9173760140922532,0.8971609369100375,0.8971609369100375
116,n03759954,100,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.044383391414428486,0.0,0.0
119,n03770439,100,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.11821704645881649,0.0,0.0
122,n03797390,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.8900964709211876,0.8900964709211876,0.8900964709211876
124,n03814639,100,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04127742880723526,0.0,0.0
165,n04409515,100,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9092609337026346,0.9092609337026346,0.9092609337026346
