category_id,category_name,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,loc_to_class_gap,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou,train_gt_count,valid_gt_count,test_gt_count
58,n02799071,10,0.5,6,1.0,0.0,1.0,0.0,1.0,1.0,0.9583071091794012,0.0,0.9583071091794012,18,1,6
188,n07718747,10,0.5,4,1.0,0.0,1.0,0.0,1.0,1.0,0.8824639211122581,0.0,0.8824639211122581,21,0,4
74,n02992211,10,0.5,3,1.0,0.0,0.0,0.0,1.0,0.0,0.832520674645625,0.0,0.0,6,1,3
125,n03838899,10,0.5,3,1.0,0.0,1.0,0.0,1.0,1.0,0.8263692643036737,0.0,0.8515720852214615,9,1,3
3,n01495701,10,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.7656526019259458,0.0,0.5340443247705262,14,1,2
17,n02062744,10,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.7405833521348633,0.0,0.7405833521348633,6,0,2
18,n02076196,10,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.9602357905801103,0.0,0.653141616433749,17,0,2
43,n02444819,10,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.8602321493863305,0.0,0.8602321493863305,8,0,2
44,n02445715,10,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.8955370881781692,0.0,0.428223950824298,6,0,2
48,n02509815,10,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.9687496813457797,0.0,0.9687496813457797,6,0,2
70,n02924116,10,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.9491431416891485,0.0,0.9491431416891485,17,0,2
85,n03134739,10,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.7780354363429545,0.0,0.7780354363429545,10,4,2
128,n03916031,10,0.5,2,1.0,0.0,0.5,0.0,1.0,0.5,0.9031065100811118,0.0,0.46651340154979254,7,1,2
42,n02437136,10,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9759847074012107,0.0,0.0,12,2,1
