category_id,category_name,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,loc_to_class_gap,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou,train_gt_count,valid_gt_count,test_gt_count
41,n02419796,1,0.5,3,1.0,0.0,1.0,0.0,1.0,1.0,0.8368470577670974,0.0,0.8368470577670974,26,0,3
44,n02445715,1,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.9004895082733959,0.0,0.9004895082733959,6,0,2
9,n01770393,1,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.7691663531411265,0.0,0.7691663531411265,6,0,1
20,n02118333,1,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9601771694171108,0.0,0.9601771694171108,10,6,1
28,n02268443,1,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9533917245272963,0.0,0.9533917245272963,9,0,1
49,n02510455,1,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.5854879997622441,0.0,0.5854879997622441,6,0,1
84,n03128519,1,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.7660156025815623,0.0,0.7660156025815623,36,3,1
99,n03445777,1,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9502262411919675,0.0,0.9502262411919675,20,0,1
135,n03995372,1,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9552890707934286,0.0,0.9552890707934286,5,0,1
37,n02395003,1,0.5,3,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6420451597007062,0.0,0.6775107224932871,15,0,3
117,n03761084,1,0.5,3,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.606426799712791,0.0,0.0,5,0,3
125,n03838899,1,0.5,3,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.4025260446349151,0.0,0.4025260446349151,9,1,3
46,n02484322,1,0.5,11,0.6363636363636364,0.0,0.6363636363636364,0.0,0.6363636363636364,0.6363636363636364,0.5490272565342429,0.0,0.5511977058966097,29,6,11
64,n02840245,1,0.5,4,0.5,0.0,0.0,0.0,0.5,0.0,0.3916047784596438,0.0,0.0,12,2,4
198,n07768694,1,0.5,4,0.5,0.0,0.25,0.0,0.5,0.25,0.5088131930882376,0.0,0.2393261847148475,26,1,4
3,n01495701,1,0.5,2,0.5,0.0,0.0,0.0,0.5,0.0,0.5306699439291972,0.0,0.0,14,1,2
17,n02062744,1,0.5,2,0.5,0.0,1.0,0.0,0.5,1.0,0.4344413637230302,0.0,0.7301976757786663,6,0,2
18,n02076196,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.631376141152108,0.0,0.631376141152108,17,0,2
21,n02121808,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.4780993839240162,0.0,0.4780993839240162,19,2,2
38,n02398521,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.4781727207151893,0.0,0.5171217852469948,6,0,2
40,n02411705,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.5196585412814384,0.0,0.5196585412814384,19,1,2
43,n02444819,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.47690378396874783,0.0,0.47690378396874783,8,0,2
48,n02509815,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.49102132947985594,0.0,0.4818751253826138,6,0,2
70,n02924116,1,0.5,2,0.5,0.0,1.0,0.0,0.5,1.0,0.5223744872215679,0.0,0.9423461607487957,17,0,2
115,n03720891,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.5653789875967696,0.0,0.5653789875967696,11,1,2
128,n03916031,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.45675550653171904,0.0,0.45675550653171904,7,1,2
162,n04376876,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.4577168709807863,0.0,0.4577168709807863,12,0,2
182,n07693725,1,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.5022546852500951,0.0,0.4925154506266067,19,0,2
6,n01662784,1,0.5,5,0.4,0.0,0.4,0.0,0.4,0.4,0.3737264530090769,0.0,0.3737264530090769,23,2,5
171,n04530566,1,0.5,9,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.6352422954681152,0.30805009212573825,0.6443163405716184,56,18,9
2,n01443537,1,0.5,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.36477406047929234,0.0,0.33342057130429575,19,0,3
35,n02374451,1,0.5,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.38020238013280605,0.0,0.6399719483207086,30,0,3
67,n02880940,1,0.5,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3611455656826166,0.0,0.3117029194737641,56,8,3
74,n02992211,1,0.5,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.22948292603989429,0.0,0.3265929096810223,6,1,3
7,n01674464,1,0.5,4,1.0,0.75,1.0,0.75,0.25,0.25,0.7301712353779469,0.582420345292626,0.7301712353779469,23,2,4
8,n01726692,1,0.5,4,0.75,0.5,1.0,0.6666666666666666,0.25,0.5,0.6399614577870426,0.39459650273679203,0.8573539692620578,34,4,4
154,n04256520,1,0.5,4,0.25,0.0,0.5,0.0,0.25,0.5,0.169148503575973,0.0,0.6060184700226963,16,5,4
188,n07718747,1,0.5,4,0.25,0.0,0.5,0.0,0.25,0.5,0.29438486728932944,0.0,0.46636611286691454,21,0,4
183,n07695742,1,0.5,9,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.23742162387143648,0.0,0.0,20,0,9
72,n02958343,1,0.5,14,0.21428571428571427,0.0,0.35714285714285715,0.0,0.21428571428571427,0.35714285714285715,0.21477905378753442,0.0,0.33651566600502064,70,21,14
113,n03676483,1,0.5,11,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182,0.0,0.1957179443336252,0.0,0.0,20,0,11
58,n02799071,1,0.5,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16262806735789684,0.0,0.15983562193491269,18,1,6
194,n07749582,1,0.5,13,0.15384615384615385,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.15365336544922276,0.0,0.15365336544922276,25,8,13
92,n03255030,1,0.5,14,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.09477833841709236,0.0,0.006897459631546468,21,0,14
163,n04379243,1,0.5,20,0.05,0.0,0.2,0.0,0.05,0.2,0.08258525818959338,0.0,0.18657213585462368,96,20,20
76,n03001627,1,0.5,27,0.18518518518518517,0.14814814814814814,0.37037037037037035,0.8,0.037037037037037035,0.2222222222222222,0.1631925271423329,0.12265708081019094,0.3204146175824928,125,25,27
4,n01503061,1,0.5,38,0.7105263157894737,0.6842105263157895,0.7105263157894737,0.962962962962963,0.02631578947368418,0.02631578947368418,0.6381660323160842,0.621835982965258,0.6396028684480336,180,23,38
1,n00007846,1,0.5,143,0.4125874125874126,0.4125874125874126,0.45454545454545453,1.0,0.0,0.041958041958041925,0.4138091839571268,0.40391866222085704,0.44783189969375803,746,179,143
19,n02084071,1,0.5,36,0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,0.0,0.0,0.7009398183671015,0.7009398183671015,0.7009398183671015,196,46,36
143,n04116512,1,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.005978926662338178,0.0,0.0,43,11,20
107,n03513137,1,0.5,13,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0889262527494482,0.0,0.29275888677144746,56,25,13
111,n03636649,1,0.5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.003366363212865828,0.0,0.0028966502294694944,32,4,13
